zip,Average Education Index 2000,Median Cost for House 2000,Median Income 2000,Median Rent 2000,Take Public Transp % in 2000,Total Population % in 2000,White Population % in 2000
94305,17.76,3089.0,41313.0,843.0,0.02,13371.0,0.606
94708,17.01,2407.0,103791.0,1527.0,0.131,10730.0,0.8390000000000001
94304,17.0,3250.0,77539.0,1948.0,0.032,1704.0,0.731
94707,16.83,2190.0,100590.0,1076.0,0.142,11880.0,0.8320000000000001
94709,16.61,1989.0,38613.0,807.0,0.193,10140.0,0.682
94705,16.59,2530.0,68112.0,770.0,0.158,12443.0,0.777
94301,16.59,3316.0,97758.0,1283.0,0.035,16186.0,0.8420000000000001
95064,16.51,1429.0,45054.0,780.0,0.23800000000000002,4559.0,0.659
94027,16.36,4001.0,200001.0,2001.0,0.027000000000000003,6857.0,0.855
94618,16.33,2335.0,77952.0,935.0,0.17800000000000002,15420.0,0.797
94022,16.32,3967.0,145425.0,1684.0,0.017,18466.0,0.8009999999999999
94306,16.31,2531.0,82314.0,1262.0,0.040999999999999995,24484.0,0.727
94563,16.3,2823.0,119832.0,1254.0,0.14800000000000002,17944.0,0.8690000000000001
92130,16.27,2502.0,93929.0,1358.0,0.004,28187.0,0.804
92121,16.26,2048.0,70750.0,1114.0,0.019,4248.0,0.667
92014,16.24,2933.0,97029.0,1240.0,0.005,13938.0,0.915
94024,16.23,3315.0,128853.0,1961.0,0.009000000000000001,21479.0,0.782
90077,16.18,4001.0,141527.0,1508.0,0.009000000000000001,10465.0,0.871
90272,16.17,3700.0,122877.0,1691.0,0.011000000000000001,22538.0,0.914
92657,16.16,3763.0,114004.0,1673.0,0.009000000000000001,5586.0,0.821
94941,16.14,2845.0,91283.0,1207.0,0.10099999999999999,28718.0,0.898
94920,16.14,3734.0,106492.0,1700.0,0.1,13048.0,0.9129999999999999
90402,16.13,4001.0,118553.0,977.0,0.019,11492.0,0.897
95616,16.05,1600.0,42110.0,763.0,0.065,67407.0,0.6920000000000001
92037,16.04,2705.0,68691.0,1067.0,0.021,42603.0,0.825
90049,16.03,4001.0,84342.0,1148.0,0.013000000000000001,33520.0,0.875
91108,16.03,3189.0,119147.0,1906.0,0.003,13149.0,0.484
94123,16.01,4001.0,84710.0,1281.0,0.29600000000000004,22903.0,0.865
94704,16.01,2030.0,19750.0,732.0,0.174,21203.0,0.505
92612,16.0,1960.0,60257.0,1204.0,0.01,41051.0,0.59
95030,16.0,3570.0,117564.0,1335.0,0.005,13289.0,0.8809999999999999
95070,15.99,3216.0,138206.0,1677.0,0.009000000000000001,30577.0,0.6759999999999999
94939,15.94,2648.0,75747.0,1403.0,0.155,6766.0,0.9229999999999999
94556,15.9,2625.0,98525.0,1112.0,0.127,16501.0,0.809
92602,15.89,2403.0,112399.0,2001.0,0.005,2754.0,0.46299999999999997
92122,15.88,1641.0,52039.0,1133.0,0.028999999999999998,34891.0,0.74
90274,15.88,3362.0,117979.0,1489.0,0.009000000000000001,24976.0,0.768
94065,15.86,2762.0,104958.0,1900.0,0.036000000000000004,10656.0,0.627
90266,15.86,2823.0,100761.0,1359.0,0.004,33742.0,0.89
90024,15.86,3905.0,47573.0,1183.0,0.044000000000000004,44141.0,0.645
94611,15.85,2413.0,68853.0,799.0,0.147,36508.0,0.716
94549,15.85,2597.0,101555.0,1065.0,0.122,23995.0,0.871
95014,15.82,2487.0,100020.0,1657.0,0.01,54412.0,0.5
92067,15.81,4001.0,196298.0,2001.0,0.009000000000000001,7601.0,0.929
94904,15.77,3190.0,82528.0,1217.0,0.102,11999.0,0.927
91011,15.75,2863.0,109802.0,1144.0,0.006,20187.0,0.75
90254,15.75,2582.0,81352.0,1146.0,0.01,18682.0,0.8959999999999999
94114,15.72,2632.0,75727.0,1122.0,0.324,30574.0,0.8290000000000001
92131,15.72,2024.0,90811.0,1223.0,0.006,29279.0,0.784
92625,15.71,3527.0,100080.0,1364.0,0.006999999999999999,13407.0,0.93
93108,15.7,3688.0,101575.0,1267.0,0.004,12737.0,0.937
94507,15.7,3433.0,139997.0,1426.0,0.051,15186.0,0.904
94506,15.66,3294.0,142459.0,2001.0,0.045,19768.0,0.773
94706,15.61,1827.0,57153.0,963.0,0.188,15865.0,0.642
92660,15.6,3020.0,98119.0,1424.0,0.008,28672.0,0.915
95120,15.58,2598.0,120117.0,1872.0,0.01,37089.0,0.708
94965,15.57,2410.0,76808.0,1453.0,0.18100000000000002,11206.0,0.789
94960,15.57,2479.0,76627.0,1084.0,0.09699999999999999,16846.0,0.924
90293,15.55,2736.0,66425.0,991.0,0.009000000000000001,11252.0,0.795
91105,15.55,2567.0,83737.0,1017.0,0.01,10245.0,0.802
90265,15.54,3681.0,100857.0,1638.0,0.004,19614.0,0.894
94970,15.53,2214.0,88184.0,1220.0,0.026000000000000002,772.0,0.951
94598,15.5,2146.0,85479.0,1246.0,0.145,26011.0,0.825
90403,15.49,2745.0,54964.0,888.0,0.027999999999999997,23556.0,0.865
90292,15.46,2348.0,72215.0,1442.0,0.013000000000000001,18057.0,0.833
94925,15.46,2501.0,77455.0,1311.0,0.09300000000000001,9019.0,0.877
94117,15.45,3012.0,63983.0,1056.0,0.35600000000000004,38738.0,0.727
94131,15.45,2253.0,76044.0,1123.0,0.256,27897.0,0.693
90275,15.45,2522.0,95643.0,1500.0,0.01,41261.0,0.6729999999999999
95033,15.45,2348.0,106675.0,1160.0,0.002,10170.0,0.9209999999999999
92614,15.44,1821.0,76934.0,1358.0,0.006,22493.0,0.616
90212,15.42,3936.0,61039.0,1200.0,0.02,11347.0,0.8490000000000001
94404,15.42,2231.0,92989.0,1622.0,0.040999999999999995,31866.0,0.607
93921,15.41,1987.0,53750.0,1125.0,0.013000000000000001,2963.0,0.943
92651,15.41,2745.0,76644.0,1093.0,0.016,25186.0,0.9209999999999999
91436,15.41,3196.0,102652.0,1260.0,0.011000000000000001,13109.0,0.899
91302,15.39,3207.0,93378.0,1222.0,0.006,23644.0,0.873
92782,15.39,2117.0,85977.0,1340.0,0.009000000000000001,17485.0,0.669
94610,15.36,2086.0,49066.0,794.0,0.17800000000000002,29963.0,0.5329999999999999
95032,15.35,2669.0,93118.0,1370.0,0.012,24427.0,0.857
94526,15.33,2528.0,109771.0,1560.0,0.049,32853.0,0.883
92661,15.32,3612.0,64293.0,1006.0,0.011000000000000001,4225.0,0.9420000000000001
90803,15.31,2357.0,60513.0,826.0,0.022000000000000002,31349.0,0.86
91030,15.29,2074.0,55701.0,833.0,0.011000000000000001,23975.0,0.604
94087,15.29,2255.0,84856.0,1244.0,0.017,50051.0,0.613
92620,15.29,2022.0,86467.0,1165.0,0.003,26415.0,0.65
94539,15.28,2417.0,101977.0,1315.0,0.028999999999999998,46910.0,0.418
93923,15.27,2430.0,67315.0,1247.0,0.003,13108.0,0.935
92075,15.27,2259.0,69057.0,1114.0,0.034,12170.0,0.867
94025,15.26,2706.0,89572.0,1324.0,0.039,39061.0,0.741
90056,15.24,2544.0,72193.0,856.0,0.02,8108.0,0.183
95129,15.21,2075.0,79489.0,1282.0,0.021,37565.0,0.498
90405,15.21,2394.0,50540.0,741.0,0.032,26089.0,0.785
94530,15.21,1634.0,56905.0,905.0,0.20600000000000002,23121.0,0.581
91361,15.2,2418.0,86646.0,1198.0,0.005,18724.0,0.905
92679,15.19,2457.0,112998.0,1301.0,0.006,32267.0,0.875
90036,15.19,2298.0,47746.0,1043.0,0.040999999999999995,32885.0,0.7
94956,15.17,1824.0,50673.0,933.0,0.024,1874.0,0.9159999999999999
91377,15.17,2336.0,89561.0,1480.0,0.006,14809.0,0.88
91711,15.17,1624.0,66663.0,787.0,0.026000000000000002,34715.0,0.735
92009,15.16,1980.0,76368.0,1176.0,0.019,43155.0,0.888
92118,15.16,2709.0,66489.0,1024.0,0.027000000000000003,24085.0,0.8440000000000001
94010,15.14,3375.0,82188.0,1119.0,0.063,40328.0,0.7559999999999999
94502,15.14,1965.0,87855.0,1568.0,0.153,13980.0,0.535
92606,15.13,1954.0,71155.0,1368.0,0.004,17619.0,0.496
94037,15.11,2039.0,93859.0,1473.0,0.079,2332.0,0.9
94583,15.1,2223.0,95588.0,1387.0,0.049,44076.0,0.772
94596,15.1,2031.0,64389.0,1010.0,0.162,40916.0,0.82
94924,15.1,2133.0,52772.0,1159.0,0.005,1560.0,0.9159999999999999
94703,15.1,1602.0,43640.0,718.0,0.225,19743.0,0.504
95762,15.09,1940.0,91529.0,1238.0,0.012,22021.0,0.905
94062,15.09,2794.0,96677.0,1125.0,0.031,25563.0,0.8690000000000001
91604,15.08,2531.0,60299.0,919.0,0.015,26137.0,0.856
90068,15.08,2588.0,52890.0,818.0,0.027999999999999997,21713.0,0.815
90277,15.06,2298.0,68263.0,1060.0,0.012,34174.0,0.838
94973,15.06,1785.0,60833.0,994.0,0.018000000000000002,1434.0,0.9440000000000001
94002,15.05,2453.0,80973.0,1114.0,0.037000000000000005,25548.0,0.752
91024,15.05,1994.0,65862.0,836.0,0.013999999999999999,10545.0,0.857
95746,15.05,2207.0,100986.0,1118.0,0.001,20663.0,0.9079999999999999
92887,15.04,2408.0,103926.0,1278.0,0.004,20876.0,0.7709999999999999
94127,15.04,2372.0,95313.0,1110.0,0.212,20624.0,0.622
94040,15.04,2524.0,69087.0,1208.0,0.066,32132.0,0.654
94115,15.04,3535.0,54879.0,1015.0,0.33899999999999997,33115.0,0.598
90210,15.03,4001.0,112572.0,1307.0,0.027000000000000003,21396.0,0.883
91364,15.03,2264.0,79414.0,1170.0,0.013000000000000001,25985.0,0.851
92128,15.01,1729.0,66676.0,1159.0,0.008,42728.0,0.784
92127,15.01,1804.0,75219.0,1190.0,0.016,20032.0,0.765
92663,14.99,2473.0,66978.0,1118.0,0.006,22123.0,0.9179999999999999
91301,14.99,2207.0,88725.0,1221.0,0.006999999999999999,25302.0,0.87
94930,14.98,2024.0,60971.0,1108.0,0.081,8476.0,0.915
94111,14.98,4001.0,56569.0,1173.0,0.162,3335.0,0.644
92610,14.98,1981.0,88710.0,1209.0,0.004,10934.0,0.7440000000000001
90069,14.98,3637.0,51215.0,898.0,0.023,20395.0,0.873
94552,14.97,2269.0,105393.0,1204.0,0.07400000000000001,13202.0,0.578
91403,14.96,2347.0,53596.0,932.0,0.026000000000000002,22079.0,0.82
94070,14.96,2548.0,89016.0,1188.0,0.037000000000000005,28079.0,0.848
92129,14.95,1847.0,77851.0,975.0,0.013000000000000001,47217.0,0.627
94588,14.94,2174.0,92644.0,1364.0,0.05,28557.0,0.764
92109,14.94,1896.0,45202.0,872.0,0.025,46071.0,0.8740000000000001
93109,14.93,2180.0,56898.0,1218.0,0.033,10966.0,0.8540000000000001
94107,14.93,2181.0,61362.0,1050.0,0.188,17368.0,0.624
94402,14.93,2650.0,82796.0,1220.0,0.062,23373.0,0.745
92108,14.93,1301.0,42626.0,947.0,0.027000000000000003,11640.0,0.7509999999999999
92604,14.92,1701.0,71779.0,1216.0,0.01,27359.0,0.6779999999999999
92106,14.92,1977.0,62121.0,778.0,0.009000000000000001,18505.0,0.895
95765,14.91,1711.0,83095.0,1125.0,0.006,15476.0,0.866
94595,14.91,1938.0,51418.0,1132.0,0.092,18019.0,0.9259999999999999
95864,14.9,1520.0,59570.0,766.0,0.017,23355.0,0.873
92677,14.9,2075.0,80146.0,1208.0,0.009000000000000001,62099.0,0.835
90025,14.89,2298.0,47806.0,958.0,0.07200000000000001,41170.0,0.6609999999999999
95819,14.89,1369.0,55811.0,717.0,0.039,15964.0,0.88
92103,14.89,2083.0,39578.0,710.0,0.046,30186.0,0.855
90064,14.88,2281.0,59923.0,899.0,0.052000000000000005,24489.0,0.723
92124,14.88,1748.0,59164.0,1156.0,0.01,30187.0,0.7070000000000001
90211,14.88,3123.0,57746.0,1095.0,0.034,8313.0,0.8290000000000001
94043,14.88,2148.0,68721.0,1208.0,0.034,27821.0,0.608
92656,14.87,1820.0,74688.0,1266.0,0.011000000000000001,41222.0,0.7759999999999999
95003,14.87,2007.0,68760.0,1173.0,0.015,24225.0,0.8959999999999999
92808,14.87,1999.0,88329.0,1330.0,0.01,19612.0,0.687
91208,14.86,2295.0,76034.0,899.0,0.009000000000000001,16909.0,0.7290000000000001
91106,14.84,1981.0,46617.0,790.0,0.046,23725.0,0.5660000000000001
94041,14.83,2185.0,67889.0,1257.0,0.033,13471.0,0.653
94118,14.82,2933.0,61609.0,1062.0,0.315,38939.0,0.5670000000000001
95135,14.82,2671.0,96078.0,1400.0,0.013999999999999999,15791.0,0.535
92007,14.82,1756.0,62877.0,1076.0,0.026000000000000002,10366.0,0.863
91362,14.81,2187.0,83750.0,1150.0,0.008,33039.0,0.855
91326,14.81,2147.0,82310.0,840.0,0.018000000000000002,28049.0,0.6509999999999999
92024,14.8,1905.0,63996.0,943.0,0.03,47113.0,0.866
95452,14.79,1608.0,58421.0,924.0,0.024,1648.0,0.93
93105,14.78,2151.0,57780.0,1065.0,0.023,25756.0,0.873
94517,14.77,2145.0,96658.0,1360.0,0.084,14223.0,0.8740000000000001
91354,14.77,1838.0,84858.0,1294.0,0.024,17841.0,0.8270000000000001
91914,14.77,1775.0,68771.0,1375.0,0.017,2601.0,0.596
93720,14.75,1406.0,61797.0,802.0,0.002,45075.0,0.7829999999999999
90067,14.75,3857.0,74830.0,1605.0,0.019,2524.0,0.862
92373,14.75,1447.0,47970.0,697.0,0.011000000000000001,31228.0,0.807
91784,14.75,1798.0,81460.0,1189.0,0.017,23312.0,0.789
91381,14.75,2254.0,87112.0,1098.0,0.01,9919.0,0.731
95138,14.73,2967.0,103389.0,1572.0,0.017,14785.0,0.523
92692,14.73,1951.0,82690.0,1105.0,0.011000000000000001,46210.0,0.828
91423,14.73,2289.0,52662.0,888.0,0.02,29370.0,0.825
96140,14.71,1667.0,58000.0,908.0,0.012,1928.0,0.9520000000000001
93908,14.7,2160.0,85488.0,927.0,0.001,13020.0,0.81
94903,14.69,2201.0,70758.0,1217.0,0.09,28401.0,0.846
93940,14.69,1766.0,50274.0,895.0,0.027999999999999997,32840.0,0.8140000000000001
91207,14.68,2469.0,62347.0,796.0,0.006999999999999999,9852.0,0.79
94086,14.67,1963.0,71056.0,1278.0,0.05,63997.0,0.47700000000000004
91367,14.67,1982.0,61356.0,1073.0,0.011000000000000001,36106.0,0.8220000000000001
93950,14.66,1674.0,50263.0,960.0,0.017,15436.0,0.8809999999999999
94946,14.66,3175.0,76194.0,950.0,0.031,589.0,0.8490000000000001
92835,14.66,1870.0,66607.0,997.0,0.017,21144.0,0.792
92673,14.65,2217.0,92073.0,1142.0,0.006,15280.0,0.898
94566,14.65,2223.0,90107.0,1101.0,0.048,36664.0,0.8370000000000001
93711,14.65,1426.0,56927.0,680.0,0.004,36269.0,0.792
95831,14.64,1499.0,57329.0,802.0,0.028999999999999998,42821.0,0.489
92688,14.63,1898.0,74173.0,1118.0,0.01,42181.0,0.797
91602,14.63,2164.0,47989.0,817.0,0.021,16978.0,0.779
95066,14.63,2248.0,74159.0,1138.0,0.018000000000000002,14561.0,0.8909999999999999
94555,14.63,1813.0,84442.0,1273.0,0.054000000000000006,33863.0,0.321
90048,14.61,2434.0,47185.0,983.0,0.036000000000000004,21724.0,0.86
90046,14.6,2607.0,37398.0,773.0,0.052000000000000005,49831.0,0.858
92107,14.59,1732.0,42660.0,768.0,0.025,27956.0,0.8809999999999999
90035,14.54,2248.0,50014.0,975.0,0.039,27792.0,0.72
92629,14.54,2035.0,64622.0,1143.0,0.025,27728.0,0.8690000000000001
96145,14.54,1626.0,54545.0,885.0,0.002,3997.0,0.956
90401,14.53,2179.0,36461.0,720.0,0.044000000000000004,5201.0,0.7859999999999999
95134,14.52,2116.0,82072.0,1516.0,0.036000000000000004,9643.0,0.5329999999999999
92649,14.52,1841.0,70779.0,1004.0,0.012,32292.0,0.852
96141,14.51,1406.0,75863.0,725.0,0.025,840.0,0.973
90505,14.51,1989.0,60737.0,989.0,0.008,34855.0,0.659
95816,14.5,1426.0,35282.0,541.0,0.063,16157.0,0.7829999999999999
92120,14.5,1519.0,57461.0,886.0,0.012,25553.0,0.852
92354,14.5,1414.0,39086.0,668.0,0.024,18062.0,0.5329999999999999
94938,14.49,2103.0,60769.0,973.0,0.051,813.0,0.882
94523,14.49,1751.0,67824.0,989.0,0.113,32671.0,0.8190000000000001
91355,14.48,1800.0,76024.0,1095.0,0.02,24970.0,0.863
95054,14.48,1950.0,85124.0,1489.0,0.02,13013.0,0.382
94109,14.47,2969.0,43444.0,843.0,0.36200000000000004,56322.0,0.615
94038,14.47,2417.0,82777.0,1405.0,0.017,3061.0,0.8079999999999999
93401,14.47,1659.0,37176.0,715.0,0.024,27034.0,0.865
90245,14.47,1997.0,61341.0,882.0,0.012,16033.0,0.836
91101,14.46,1614.0,38187.0,744.0,0.038,16809.0,0.539
90278,14.45,1967.0,69614.0,943.0,0.015,37316.0,0.7509999999999999
91915,14.45,1870.0,76346.0,1202.0,0.006,9270.0,0.486
95060,14.44,1929.0,54082.0,936.0,0.062,43172.0,0.799
93012,14.44,1802.0,69939.0,1164.0,0.006,24928.0,0.863
95018,14.43,1540.0,60270.0,909.0,0.033,8720.0,0.862
94542,14.43,1958.0,69014.0,1111.0,0.055999999999999994,11145.0,0.54
92648,14.42,2319.0,64156.0,957.0,0.008,42645.0,0.821
90503,14.42,1872.0,58127.0,915.0,0.011000000000000001,41970.0,0.574
90045,14.42,1929.0,56566.0,864.0,0.03,39315.0,0.614
95065,14.41,1846.0,58490.0,1040.0,0.022000000000000002,8346.0,0.85
90815,14.41,1627.0,61074.0,962.0,0.018000000000000002,38892.0,0.755
92064,14.41,1770.0,71385.0,909.0,0.01,47957.0,0.8290000000000001
90814,14.4,1954.0,41808.0,694.0,0.036000000000000004,19014.0,0.674
90703,14.4,1674.0,72906.0,1257.0,0.013000000000000001,51542.0,0.26899999999999996
91765,14.4,1686.0,69848.0,1007.0,0.025,46520.0,0.418
94132,14.4,1875.0,55000.0,1126.0,0.256,26291.0,0.419
92119,14.39,1390.0,55973.0,831.0,0.025,21850.0,0.866
94949,14.39,2174.0,63838.0,1244.0,0.085,13360.0,0.825
95628,14.39,1477.0,60383.0,749.0,0.019,40739.0,0.88
92886,14.38,1881.0,82188.0,1143.0,0.005,39452.0,0.8440000000000001
94005,14.38,1993.0,65658.0,975.0,0.055,3615.0,0.726
95758,14.37,1442.0,68026.0,972.0,0.017,47063.0,0.5820000000000001
93402,14.37,1316.0,46806.0,817.0,0.013000000000000001,14842.0,0.883
95051,14.36,1743.0,73147.0,1293.0,0.03,52972.0,0.551
95006,14.36,1718.0,65206.0,950.0,0.01,10506.0,0.9129999999999999
91006,14.35,1858.0,58779.0,861.0,0.023,30010.0,0.485
95005,14.35,1707.0,64813.0,967.0,0.03,6394.0,0.917
91107,14.34,1903.0,56426.0,791.0,0.027000000000000003,32360.0,0.6409999999999999
95722,14.34,1476.0,60868.0,875.0,0.011000000000000001,3728.0,0.956
94951,14.34,1736.0,62528.0,749.0,0.033,3764.0,0.9209999999999999
90720,14.33,1944.0,65715.0,887.0,0.009000000000000001,21328.0,0.825
93110,14.33,1996.0,52493.0,940.0,0.022000000000000002,15751.0,0.8270000000000001
93311,14.33,1344.0,60700.0,762.0,0.009000000000000001,20432.0,0.738
91320,14.32,1869.0,77865.0,1213.0,0.006,37775.0,0.847
93111,14.32,1868.0,68087.0,1119.0,0.013000000000000001,16470.0,0.8140000000000001
91214,14.32,1800.0,64843.0,915.0,0.009000000000000001,29101.0,0.725
92691,14.32,1724.0,75184.0,1177.0,0.009000000000000001,46370.0,0.836
93449,14.31,1766.0,46521.0,845.0,0.004,8562.0,0.914
92646,14.31,1741.0,69638.0,1121.0,0.006999999999999999,56501.0,0.831
90291,14.3,1911.0,45769.0,848.0,0.057,31018.0,0.715
91316,14.29,1987.0,49131.0,867.0,0.02,27595.0,0.831
92352,14.29,1462.0,60829.0,740.0,0.013000000000000001,9792.0,0.904
