zip,Median_Income_2000,Median_Income_2014,Median_Rent_2000,Median_Rent_2014,Total_Pop_2000,Total_Pop_2014,White_Pop_2000,White_Pop_2014,Outcome
95829,"$63,774","$74,530",$935,"$1,594",11380,25786,66.0%,47.4%,
92860,"$63,750","$85,361",$863,"$1,830",22425,27304,82.4%,74.4%,
93605,"$63,750","$82,917",$453,$673,258,201,92.3%,73.1%,
90808,"$63,620","$96,824",$894,"$1,427",37403,39834,81.0%,73.0%,
90732,"$63,614","$84,537",$968,"$1,689",21264,19810,77.6%,74.9%,
90630,"$63,611","$84,051",$923,"$1,613",47334,48844,65.9%,57.9%,
95835,"$63,611","$80,449",$246,"$1,425",834,39073,67.8%,42.8%,
92029,"$63,581","$68,108",$826,"$1,395",17929,19528,82.5%,85.2%,
91001,"$63,543","$85,655",$775,"$1,439",36235,37481,42.2%,58.3%,
91773,"$63,526","$78,501",$896,"$1,502",33865,33869,74.5%,66.4%,
90713,"$63,458","$87,095","$1,010","$1,841",27549,28411,77.5%,66.2%,
92870,"$63,367","$80,037",$899,"$1,541",48166,53474,68.3%,74.3%,
92270,"$63,349","$71,688",$657,"$1,297",12452,17634,92.9%,90.7%,
92823,"$63,266","$124,712","$1,450","$2,001",1404,2960,89.5%,51.9%,
93010,"$63,245","$86,505",$941,"$1,473",42840,43234,78.4%,75.2%,
95492,"$63,161","$81,093",$856,"$1,648",23688,29629,79.2%,76.7%,
95127,"$63,096","$70,692","$1,167","$1,564",60609,64498,42.8%,36.3%,
93066,"$63,043","$75,380",$769,"$1,347",2946,3179,74.4%,72.5%,
92867,"$63,039","$78,072",$885,"$1,481",40914,44569,72.6%,69.9%,
92675,"$62,937","$72,465","$1,009","$1,753",34311,35596,78.4%,71.0%,
95747,"$62,922","$92,678",$822,"$1,394",25410,56415,88.1%,78.3%,
92007,"$62,877","$93,889","$1,076","$1,846",10366,11782,86.3%,90.0%,
94951,"$62,528","$93,389",$749,"$1,287",3764,4812,92.1%,81.1%,
92555,"$62,509","$73,352",$881,"$1,606",12726,40419,62.8%,48.7%,
91901,"$62,452","$81,379",$757,"$1,284",16468,18184,88.1%,88.0%,
92705,"$62,368","$82,675",$880,"$1,382",44110,46163,71.8%,76.9%,
92506,"$62,357","$78,116",$741,"$1,201",42405,45993,76.3%,80.7%,
91207,"$62,347","$88,929",$796,"$1,426",9852,10334,79.0%,79.1%,
91311,"$62,270","$80,279",$890,"$1,417",35317,37769,73.8%,63.6%,
92106,"$62,121","$81,973",$778,"$1,600",18505,19539,89.5%,85.0%,
94066,"$61,939","$81,369","$1,158","$1,685",39546,42100,57.9%,50.8%,
95688,"$61,828","$81,860",$761,"$1,337",32552,35820,79.7%,73.0%,
95376,"$61,800","$62,262",$795,"$1,271",69786,49398,65.5%,64.1%,
93720,"$61,797","$77,092",$802,"$1,327",45075,46153,78.3%,71.7%,
90743,"$61,786","$106,458",$850,"$1,872",170,330,97.7%,80.0%,
94121,"$61,776","$70,220",$984,"$1,522",42473,42043,48.6%,46.2%,
90638,"$61,724","$79,858",$874,"$1,530",47548,49543,64.4%,56.5%,
94118,"$61,609","$82,993","$1,062","$1,667",38939,40102,56.7%,57.7%,
92562,"$61,583","$75,448",$783,"$1,469",36129,63293,82.6%,74.3%,
93312,"$61,583","$93,588",$753,"$1,574",40824,56313,86.1%,79.5%,
94803,"$61,494","$76,232",$863,"$1,298",25392,25998,51.6%,49.2%,
94569,"$61,429","$94,420",$546,$914,168,320,91.7%,100.0%,
94508,"$61,389","$72,411",$780,"$1,037",3631,4118,77.4%,70.3%,
94107,"$61,362","$120,610","$1,050","$2,001",17368,27792,62.4%,59.2%,
91367,"$61,356","$77,152","$1,073","$1,756",36106,42029,82.2%,72.1%,
91351,"$61,349","$70,858",$980,"$1,463",59257,32433,76.2%,71.8%,
90245,"$61,341","$84,004",$882,"$1,555",16033,16839,83.6%,82.4%,
93441,"$61,339","$95,625",$936,"$1,306",1301,1195,90.9%,89.1%,
94080,"$61,289","$78,378","$1,063","$1,525",60592,66002,44.4%,38.1%,
90815,"$61,074","$79,525",$962,"$1,569",38892,40572,75.5%,73.4%,
90212,"$61,039","$84,516","$1,200","$1,902",11347,12415,84.9%,77.9%,
94591,"$61,022","$73,870",$901,"$1,359",51659,54530,39.7%,38.3%,
94930,"$60,971","$93,049","$1,108","$1,564",8476,8756,91.5%,89.5%,
94574,"$60,964","$81,788",$803,"$1,582",9415,9300,83.9%,81.9%,
95722,"$60,868","$76,389",$875,"$1,527",3728,4524,95.6%,93.7%,
94973,"$60,833","$88,750",$994,"$1,242",1434,1831,94.4%,97.1%,
92352,"$60,829","$72,479",$740,$973,9792,6783,90.4%,87.8%,
95122,"$60,817","$57,470","$1,087","$1,449",59822,57564,23.6%,36.2%,
94564,"$60,804","$74,283",$854,"$1,392",16705,18704,53.8%,50.4%,
92624,"$60,797","$71,469","$1,102","$1,761",7445,6450,88.8%,83.8%,
94938,"$60,769","$96,281",$973,"$1,693",813,884,88.2%,85.3%,
90505,"$60,737","$82,313",$989,"$1,534",34855,37381,65.9%,57.7%,
94122,"$60,733","$86,070","$1,071","$1,714",55492,58547,47.2%,42.7%,
94014,"$60,711","$71,668",$936,"$1,469",47451,48536,24.7%,25.1%,
93311,"$60,700","$87,720",$762,"$1,370",20432,44358,73.8%,67.3%,
95663,"$60,560","$124,375",$890,"$1,278",2035,2485,91.1%,87.1%,
90803,"$60,513","$72,025",$826,"$1,357",31349,30805,86.0%,84.4%,
92065,"$60,404","$77,361",$718,"$1,241",33087,36039,86.3%,89.3%,
94553,"$60,402","$76,669",$876,"$1,394",46659,48891,81.0%,77.9%,
95628,"$60,383","$72,739",$749,"$1,109",40739,40767,88.0%,87.2%,
94509,"$60,375","$54,372",$786,"$1,211",90879,63351,65.4%,56.7%,
91750,"$60,366","$76,912",$834,"$1,379",35512,33969,76.8%,75.0%,
91604,"$60,299","$90,528",$919,"$1,675",26137,29072,85.6%,81.6%,
95018,"$60,270","$72,161",$909,"$1,130",8720,7660,86.2%,92.1%,
92612,"$60,257","$67,039","$1,204","$1,888",41051,29325,59.0%,54.5%,
92126,"$60,229","$85,707","$1,025","$1,718",74222,78201,45.5%,37.8%,
95658,"$60,208","$63,604",$741,"$1,180",6095,6261,91.1%,91.8%,
93907,"$60,179","$68,078",$915,"$1,290",22278,21812,67.4%,73.1%,
94572,"$60,082","$68,701",$783,"$1,149",8487,9648,52.7%,50.2%,
94567,"$60,000","$58,643",$890,$850,488,730,85.7%,92.3%,
90064,"$59,923","$86,573",$899,"$1,690",24489,25788,72.3%,71.2%,
94901,"$59,889","$76,909",$985,"$1,424",40221,42027,72.8%,66.3%,
91745,"$59,642","$76,447",$946,"$1,629",53682,55237,41.0%,45.6%,
95864,"$59,570","$83,467",$766,"$1,282",23355,22698,87.3%,79.7%,
90746,"$59,390","$75,031",$905,"$1,681",25561,26738,13.2%,17.0%,
90712,"$59,347","$78,175",$837,"$1,453",30171,32015,65.3%,54.2%,
90603,"$59,328","$87,251",$852,"$1,671",19101,20475,77.8%,68.9%,
93022,"$59,313","$73,433",$942,"$1,421",6495,7069,86.8%,89.7%,
92821,"$59,189","$80,163",$932,"$1,544",34041,37580,76.8%,73.2%,
92124,"$59,164","$80,625","$1,156","$2,001",30187,30196,70.7%,71.9%,
91724,"$59,158","$75,420",$838,"$1,334",25062,25405,66.5%,57.5%,
95843,"$59,151","$64,773",$813,"$1,351",36421,47172,65.5%,64.5%,
93004,"$59,099","$76,027",$817,"$1,505",27379,30417,79.0%,81.1%,
92532,"$59,042","$87,361",$577,"$1,699",4542,21260,77.8%,60.7%,
94060,"$59,006","$60,089",$921,$954,2042,1650,77.9%,88.4%,
95050,"$58,961","$69,341","$1,062","$1,451",36335,37714,61.9%,59.3%,
93035,"$58,874","$83,038","$1,059","$1,773",25321,26966,67.3%,74.8%,
95111,"$58,807","$57,047","$1,042","$1,282",57735,60907,31.5%,45.3%,
91006,"$58,779","$84,021",$861,"$1,521",30010,32392,48.5%,35.6%,
95714,"$58,750","$54,327",$883,$994,333,284,91.0%,100.0%,
92587,"$58,656","$68,620","$1,010","$1,601",13135,16787,88.3%,80.7%,
95661,"$58,606","$72,459",$865,"$1,243",25161,30559,88.5%,83.8%,
95023,"$58,559","$69,678",$765,"$1,278",47505,50625,64.1%,83.8%,
93962,"$58,519","$80,288",$993,$743,398,939,86.4%,97.0%,
95065,"$58,490","$86,031","$1,040","$1,756",8346,8331,85.0%,86.8%,
95233,"$58,472","$50,446",$747,"$1,295",316,591,93.7%,100.0%,
92591,"$58,429","$70,380",$849,"$1,428",25648,39767,79.8%,73.4%,
95452,"$58,421","$78,114",$924,"$1,332",1648,1314,93.0%,93.3%,
94963,"$58,333","$79,485",$805,"$2,001",528,461,85.4%,100.0%,
95002,"$58,304","$73,333",$944,"$1,210",2128,1660,40.8%,63.4%,
92082,"$58,147","$79,348",$638,"$1,036",14559,19825,78.1%,80.8%,
90503,"$58,127","$77,047",$915,"$1,484",41970,45518,57.4%,48.4%,
96161,"$58,113","$75,172",$882,"$1,432",15781,18475,89.2%,95.5%,
95368,"$58,075","$72,939",$696,"$1,390",12464,14474,68.5%,76.4%,
92003,"$58,059","$69,205",$801,"$1,255",3844,4306,82.3%,76.8%,
96140,"$58,000","$72,204",$908,"$1,942",1928,1126,95.2%,100.0%,
95703,"$57,992","$69,750","$1,028","$1,050",1512,1065,91.4%,91.9%,
94546,"$57,976","$75,500",$965,"$1,369",41680,43448,76.6%,64.4%,
92626,"$57,929","$80,132","$1,051","$1,705",48200,51575,71.9%,72.1%,
92377,"$57,922","$80,130","$1,045","$1,721",18499,19750,45.1%,54.6%,
90620,"$57,861","$80,278",$921,"$1,583",44432,45992,59.1%,61.5%,
93105,"$57,780","$81,308","$1,065","$1,645",25756,24967,87.3%,85.1%,
90211,"$57,746","$69,942","$1,095","$1,773",8313,8080,82.9%,81.9%,
94112,"$57,629","$71,505","$1,016","$1,453",73104,83032,28.9%,30.6%,
95117,"$57,626","$67,718","$1,112","$1,493",29903,32074,57.3%,59.7%,
94519,"$57,601","$67,607",$960,"$1,439",18643,19927,77.0%,74.7%,
92647,"$57,528","$74,637",$957,"$1,480",58761,59741,70.2%,71.7%,
92120,"$57,461","$79,895",$886,"$1,435",25553,25365,85.2%,80.3%,
95831,"$57,329","$68,679",$802,"$1,131",42821,41597,48.9%,47.4%,
92313,"$57,303","$64,140",$787,"$1,174",11008,12252,74.2%,70.4%,
94579,"$57,214","$75,481",$944,"$1,463",19802,21842,51.3%,38.8%,
94706,"$57,153","$81,746",$963,"$1,619",15865,20206,64.2%,55.5%,
92672,"$57,110","$75,411",$903,"$1,642",34932,35041,87.1%,80.7%,
94923,"$57,045","$77,305",$850,$636,1769,736,85.8%,98.0%,
95073,"$57,034","$80,133","$1,007","$1,430",9807,10849,86.8%,84.1%,
94545,"$56,973","$71,723","$1,036","$1,431",27295,30936,36.9%,33.2%,
95405,"$56,945","$72,156",$957,"$1,375",22247,21516,88.4%,83.1%,
94952,"$56,934","$75,221",$864,"$1,334",31917,35081,87.6%,82.1%,
93711,"$56,927","$63,934",$680,"$1,077",36269,37630,79.2%,77.1%,
94530,"$56,905","$87,598",$905,"$1,460",23121,24301,58.1%,57.0%,
93109,"$56,898","$99,638","$1,218","$2,001",10966,11031,85.4%,86.1%,
95687,"$56,811","$73,684",$876,"$1,412",63144,65781,69.7%,63.4%,
95017,"$56,750","$67,031",$763,"$1,261",850,654,76.5%,91.6%,
91775,"$56,657","$84,620",$739,"$1,250",23426,25395,47.0%,33.6%,
94111,"$56,569","$103,472","$1,173","$2,001",3335,3477,64.4%,57.4%,
90045,"$56,566","$78,082",$864,"$1,690",39315,41453,61.4%,61.6%,
92019,"$56,486","$74,797",$805,"$1,434",40981,44357,83.4%,78.6%,
91107,"$56,426","$84,761",$791,"$1,396",32360,31828,64.1%,62.0%,
95209,"$56,416","$72,218",$720,"$1,216",30812,41459,56.2%,51.8%,
91791,"$56,216","$70,841",$816,"$1,266",30442,33174,51.0%,43.6%,
95442,"$56,140","$64,712",$810,"$1,267",4089,3154,89.5%,90.0%,
94558,"$55,995","$72,720",$864,"$1,437",63932,67967,82.6%,84.2%,
92119,"$55,973","$70,261",$831,"$1,419",21850,23926,86.6%,83.8%,
92882,"$55,957","$71,793",$768,"$1,245",60281,70188,62.8%,73.9%,
95128,"$55,869","$70,096","$1,049","$1,382",32799,37026,62.2%,57.3%,
95366,"$55,821","$75,300",$632,"$1,057",12627,16734,83.5%,88.6%,
91504,"$55,813","$71,296",$779,"$1,335",25872,25544,68.7%,72.1%,
95819,"$55,811","$87,156",$717,"$1,307",15964,18374,88.0%,85.7%,
95472,"$55,766","$68,804",$805,"$1,268",31246,29408,89.5%,87.6%,
91030,"$55,701","$80,479",$833,"$1,394",23975,25914,60.4%,54.8%,
92865,"$55,512","$85,251",$893,"$1,557",18039,19715,72.6%,70.8%,
90240,"$55,492","$71,939",$770,"$1,351",24891,26287,58.3%,72.9%,
92336,"$55,340","$87,425",$727,"$1,684",54585,91510,43.8%,53.7%,
94602,"$55,321","$68,813",$781,"$1,159",28880,29794,45.1%,46.0%,
91710,"$55,185","$71,825",$766,"$1,318",75314,83042,56.9%,57.3%,
92008,"$55,123","$66,000",$897,"$1,508",35562,26464,84.0%,88.0%,
94401,"$55,112","$72,279","$1,095","$1,591",32484,36838,57.7%,59.0%,
94132,"$55,000","$66,607","$1,126","$1,822",26291,31926,41.9%,38.2%,
90403,"$54,964","$72,366",$888,"$1,699",23556,25116,86.5%,84.7%,
95258,"$54,926","$72,452",$599,"$1,025",4162,3973,81.3%,88.6%,
94115,"$54,879","$85,330","$1,015","$1,630",33115,34556,59.8%,61.8%,
94933,"$54,732","$71,667","$1,075","$1,607",1019,1069,88.9%,75.5%,
92557,"$54,724","$60,655",$789,"$1,337",46197,51871,52.8%,58.7%,
92253,"$54,686","$71,697",$815,"$1,411",23970,38462,78.5%,82.8%,
95633,"$54,643","$70,938",$811,"$1,027",2518,3247,94.7%,91.1%,
94580,"$54,594","$71,177",$933,"$1,444",26237,29311,59.1%,49.3%,
93003,"$54,574","$69,616",$906,"$1,494",46891,51454,80.7%,81.0%,
96145,"$54,545","$68,887",$885,"$1,340",3997,3215,95.6%,95.6%,
95620,"$54,448","$66,291",$711,"$1,154",18510,21005,70.0%,72.8%,
94134,"$54,342","$60,230",$791,"$1,195",40134,40343,18.9%,20.2%,
95662,"$54,316","$65,122",$826,"$1,275",32035,31814,89.5%,89.9%,
93536,"$54,223","$70,724",$649,"$1,290",49303,71313,70.1%,69.1%,
94619,"$54,174","$78,676",$746,"$1,366",24501,24146,33.9%,38.2%,
95330,"$54,140","$63,248",$699,"$1,474",10819,17702,51.6%,50.2%,
95677,"$54,111","$69,583",$818,"$1,291",21505,22808,89.6%,84.4%,
95060,"$54,082","$62,365",$936,"$1,522",43172,47148,79.9%,80.8%,
91792,"$54,074","$66,848",$864,"$1,453",31620,30102,30.4%,27.1%,
95439,"$53,884","$73,542",$771,$971,462,566,75.3%,87.6%,
94589,"$53,881","$56,154",$852,"$1,338",42198,30811,32.7%,37.5%,
92071,"$53,824","$74,393",$832,"$1,358",53502,55362,86.5%,82.9%,
94110,"$53,795","$84,488",$882,"$1,447",74633,71422,52.4%,60.8%,
93251,"$53,750","$40,179",$619,$367,296,229,88.9%,95.2%,
93921,"$53,750","$62,230","$1,125","$1,622",2963,3164,94.3%,87.9%,
94964,"$53,750","$106,333","$1,179",$755,6439,4478,51.3%,25.0%,
95549,"$53,750","$56,607",$592,$928,244,869,95.9%,96.4%,
92056,"$53,676","$63,728",$932,"$1,561",52894,52758,73.6%,72.2%,
91403,"$53,596","$75,334",$932,"$1,563",22079,24353,82.0%,81.2%,
92078,"$53,586","$55,530",$922,"$1,445",6748,45926,81.0%,78.8%,
92879,"$53,451","$62,677",$877,"$1,408",44874,48654,55.6%,68.4%,
96073,"$53,403","$81,328",$950,"$1,776",4930,4502,93.1%,89.3%,
92618,"$53,337","$97,470","$1,314","$2,001",6297,21345,63.9%,51.9%,
93455,"$53,251","$72,212",$855,"$1,559",37352,42513,83.6%,83.6%,
92584,"$53,190","$75,928",$902,"$1,692",14061,46346,84.9%,71.3%,
94922,"$53,125","$28,556",$780,$811,571,492,87.0%,51.0%,
95441,"$53,036","$59,545",$789,"$1,067",2332,1989,66.5%,68.5%,
95412,"$52,955","$51,875",$600,$950,729,352,74.4%,61.9%,
95409,"$52,912","$65,425",$956,"$1,413",25706,25784,89.4%,86.1%,
90068,"$52,890","$73,373",$818,"$1,443",21713,21943,81.5%,77.1%,
92337,"$52,883","$69,966",$785,"$1,429",29845,37844,41.4%,53.0%,
95404,"$52,864","$67,001",$801,"$1,220",35056,40253,82.4%,78.0%,
90601,"$52,800","$70,841",$746,"$1,274",32039,34143,59.4%,55.4%,
94924,"$52,772","$73,621","$1,159","$1,750",1560,1434,91.6%,90.4%,
91740,"$52,696","$67,048",$792,"$1,380",25117,26324,74.3%,74.6%,
91423,"$52,662","$75,671",$888,"$1,484",29370,32130,82.5%,81.5%,
91345,"$52,603","$60,148",$882,"$1,321",17102,18196,52.2%,57.7%,
95426,"$52,500","$66,750",$628,$936,1589,1659,93.0%,90.4%,
93110,"$52,493","$75,915",$940,"$1,463",15751,17321,82.7%,75.7%,
95403,"$52,434","$63,029",$870,"$1,307",40258,44918,77.6%,75.7%,
93465,"$52,376","$83,194",$836,"$1,186",7901,9652,91.3%,86.3%,
94931,"$52,297","$64,625",$885,"$1,280",7916,8570,84.1%,80.3%,
92211,"$52,251","$57,557",$797,"$1,239",19699,24564,90.7%,84.4%,
93532,"$52,222","$54,769",$785,"$1,052",2760,2419,83.0%,93.1%,
92563,"$52,208","$77,105",$783,"$1,680",18303,57605,77.2%,59.3%,
93463,"$52,149","$66,771",$858,"$1,460",7942,8132,89.5%,84.5%,
93013,"$52,052","$68,884",$956,"$1,444",17402,15944,75.9%,80.3%,
92122,"$52,039","$71,307","$1,133","$1,739",34891,44602,74.0%,60.5%,
95346,"$51,969","$49,708",$613,$918,1261,1541,93.0%,82.0%,
94928,"$51,952","$57,484",$904,"$1,295",42542,42668,80.3%,76.1%,
94501,"$51,896","$70,935",$892,"$1,351",58535,62571,57.7%,50.3%,
91040,"$51,894","$70,830",$709,"$1,181",18748,20017,78.5%,82.8%,
91505,"$51,740","$77,679",$825,"$1,512",29235,31133,77.8%,74.9%,
91748,"$51,640","$60,896",$845,"$1,334",46324,47859,28.0%,24.1%,
95389,"$51,500","$45,588",$475,$237,1740,1312,80.6%,89.8%,
91356,"$51,420","$69,148",$796,"$1,246",27407,29847,78.9%,75.2%,
94595,"$51,418","$58,659","$1,132","$1,375",18019,16837,92.6%,84.1%,
95938,"$51,290","$60,750",$564,$941,3519,3936,92.6%,94.4%,
90230,"$51,275","$73,786",$849,"$1,531",31945,33090,53.1%,60.2%,
91007,"$51,255","$72,255",$834,"$1,392",30925,34198,46.6%,29.7%,
90069,"$51,215","$78,607",$898,"$1,570",20395,20426,87.3%,78.3%,
95448,"$51,207","$62,076",$865,"$1,289",17976,17078,81.0%,78.0%,
92251,"$51,008","$76,526",$575,"$1,067",14538,22348,46.9%,67.7%,
95631,"$51,000","$63,901",$704,"$1,268",5703,5910,92.9%,95.5%,
92833,"$50,929","$67,019",$790,"$1,407",46099,53309,53.5%,40.3%,
94577,"$50,888","$64,660",$844,"$1,234",41867,45808,52.7%,43.8%,
96103,"$50,888","$60,268",$600,$780,1837,1357,96.0%,95.1%,
91506,"$50,849","$70,408",$754,"$1,309",18530,18428,76.2%,72.8%,
91790,"$50,825","$66,057",$791,"$1,359",44085,46059,48.2%,39.0%,
95949,"$50,816","$60,459",$905,"$1,387",17909,19640,95.1%,94.2%,
92596,"$50,806","$85,914",$589,"$1,682",4080,26044,81.3%,71.4%,
93023,"$50,709","$64,843",$803,"$1,263",21624,20603,88.2%,90.2%,
94971,"$50,703","$42,500",$642,"$1,424",371,362,89.8%,86.7%,
94956,"$50,673","$38,750",$933,$975,1874,1687,91.6%,68.2%,
90631,"$50,666","$66,553",$786,"$1,306",67353,68899,64.3%,61.3%,
95648,"$50,638","$70,820",$654,"$1,526",15269,48869,82.5%,84.9%,
91010,"$50,634","$60,118",$816,"$1,328",27400,25797,49.5%,51.6%,
90605,"$50,630","$66,706",$776,"$1,279",38180,42103,52.8%,57.0%,
90745,"$50,610","$71,757",$741,"$1,353",55473,57727,29.7%,33.8%,
92382,"$50,608","$66,875",$718,"$1,248",5386,5161,87.9%,90.8%,
95946,"$50,591","$62,180","$1,015","$1,505",9745,10206,94.9%,91.6%,
90504,"$50,587","$75,180",$823,"$1,362",31664,32777,47.1%,40.0%,
92806,"$50,555","$62,828",$867,"$1,503",34387,39616,58.9%,72.4%,
90807,"$50,543","$72,276",$712,"$1,204",31549,33726,55.0%,44.4%,
90405,"$50,540","$78,756",$741,"$1,547",26089,28535,78.5%,78.9%,
94533,"$50,537","$56,973",$773,"$1,152",77666,70634,54.5%,43.5%,
95476,"$50,520","$60,100",$879,"$1,300",34310,38822,86.8%,82.3%,
95219,"$50,396","$75,309",$697,"$1,105",19103,28354,66.1%,58.5%,
95212,"$50,316","$59,965",$506,"$1,558",6934,25244,76.9%,32.5%,
94805,"$50,300","$66,079",$813,"$1,229",13973,14329,47.9%,53.1%,
93940,"$50,274","$67,716",$895,"$1,437",32840,33760,81.4%,79.1%,
96142,"$50,270","$42,857",$780,$976,1282,731,94.0%,92.2%,
93950,"$50,263","$70,230",$960,"$1,447",15436,15365,88.1%,85.7%,
93420,"$50,244","$66,506",$729,"$1,278",24482,30076,88.8%,88.2%,
93432,"$50,236","$53,571",$441,"$2,001",1193,798,91.0%,92.2%,
93444,"$50,231","$61,379",$753,"$1,412",15391,19578,77.9%,84.3%,
93667,"$50,227","$53,385",$651,$924,2627,2089,81.7%,80.6%,
93552,"$50,179","$56,738",$850,"$1,482",25359,42073,50.8%,38.6%,
92595,"$50,129","$61,525",$743,"$1,510",19359,31139,81.7%,70.0%,
91722,"$50,126","$63,740",$853,"$1,377",33803,36352,56.2%,51.0%,
93313,"$50,114","$64,803",$809,"$1,379",25115,43644,64.0%,60.6%,
95126,"$50,113","$72,877","$1,001","$1,432",27021,34618,60.7%,51.6%,
91730,"$50,047","$61,952",$842,"$1,407",51969,66979,58.6%,62.3%,
90035,"$50,014","$75,327",$975,"$1,679",27792,31399,72.0%,71.9%,
91321,"$49,979","$57,654",$856,"$1,338",30727,34576,72.4%,71.1%,
91324,"$49,961","$58,993",$761,"$1,399",25731,29178,59.7%,51.8%,
92704,"$49,923","$59,412",$914,"$1,417",91176,87121,38.3%,53.7%,
92397,"$49,901","$54,000",$761,"$1,137",4247,4616,91.1%,95.7%,
95236,"$49,844","$76,542",$612,$733,3135,3829,80.3%,74.1%,
90604,"$49,836","$65,640",$742,"$1,233",37869,39541,63.2%,65.1%,
91202,"$49,818","$63,111",$859,"$1,541",21971,23007,68.6%,77.8%,
95665,"$49,784","$48,940",$598,"$1,073",4351,4862,92.1%,93.8%,
93422,"$49,754","$66,014",$701,"$1,145",29532,31899,89.2%,89.5%,
92683,"$49,686","$53,559",$840,"$1,355",88225,91204,45.8%,38.7%,
93427,"$49,677","$62,969",$745,"$1,120",4630,5279,80.8%,76.3%,
92123,"$49,646","$71,911",$946,"$1,786",25217,29240,65.5%,57.6%,
