Census Track,Average Income,Neighborhood,Shape_Area,City,County,State,Country
686114,1904514,12,646,New Jennifer,70,Oklahoma,
241828,477020,41,618,Blairton,77,Delaware,
167495,5236724,87,626,Briggsville,42,Kansas,
805008,4813103,53,424,Allenton,19,Vermont,
100194,3158504,79,531,Millerland,52,Arizona,
928795,2277277,39,237,Wallaceshire,63,Utah,
721838,2685840,24,740,Dalefurt,99,Virginia,
188471,3007218,55,922,Johnville,17,Alabama,
568406,188175,89,482,South Lauren,29,Nevada,
302391,8573630,76,236,Milesview,59,Kansas,
487202,6486298,42,659,New Alex,55,Illinois,
953053,8797972,67,657,Port Jennifer,7,Georgia,
355705,5130941,57,688,Lake William,50,Wisconsin,
407455,7970815,64,518,West Rebeccamouth,97,Texas,
334614,448702,64,717,Elliottville,36,Iowa,
685438,2741981,69,328,Simpsonmouth,34,Alaska,
544724,760445,60,741,South Daniel,98,Missouri,
169436,7225218,95,486,Sarahhaven,48,Florida,
901673,3474451,45,946,Port Lisa,41,Vermont,
796876,1696819,63,266,Lewisland,96,Wisconsin,
100815,5753717,85,145,North Evelynburgh,61,Virginia,
140355,2187498,47,691,Benjaminstad,30,Connecticut,
551861,8850470,56,707,Snyderfort,47,Mississippi,
786293,2130380,84,357,Jenniferside,68,Iowa,
65448,5924443,79,323,New Janiceport,36,Oklahoma,
948100,738586,55,710,South Michaelport,79,Tennessee,
494023,3081509,89,347,North Jasonstad,50,West Virginia,
275245,9931368,25,846,Lake Matthewport,91,Illinois,
756098,4890420,57,490,Wilsonland,64,Montana,
535125,6562738,18,570,South Michellefort,74,Virginia,
43388,5818031,88,675,Ellisburgh,46,Tennessee,
352959,1516514,30,131,Jacobsonberg,60,Rhode Island,
634805,7689792,86,715,Pamelashire,95,Vermont,
255771,9936406,58,284,Shawnton,29,Maryland,
231199,4663515,45,892,South Alexandraborough,39,Vermont,
861165,7529504,62,567,Derekview,2,North Dakota,
993547,9043000,77,744,South Adamport,58,New York,
870652,3825017,34,121,North Anne,71,South Carolina,
36849,565348,55,328,Lake Jennifer,2,Utah,
109067,1896347,64,635,Frostville,25,Kentucky,
800691,9145208,82,935,Port Elizabeth,13,Alabama,
649149,5520304,15,871,Port Paulamouth,85,South Carolina,
585020,2764233,29,919,South Kristen,21,California,
790877,6037155,72,525,Doughertymouth,91,Massachusetts,
778827,1441937,88,555,Raymondbury,52,Iowa,
719912,4691781,47,203,New Kevin,75,Wyoming,
820375,1100924,55,352,Brandonstad,46,Missouri,
824991,3394826,42,282,Darrenville,22,Kentucky,
725496,2421081,54,926,Jacksonbury,46,New Hampshire,
393834,3147900,73,974,East Colton,46,Iowa,
113788,115542,97,758,Davidshire,73,Florida,
225390,4412054,31,398,North Kellyville,31,Kansas,
252342,4660647,75,868,West Stephaniestad,65,Nebraska,
78710,5252505,59,832,East Stephanie,73,Oregon,
620672,4120996,20,801,East Michaelbury,14,Wisconsin,
212955,6080753,96,906,Joburgh,12,Montana,
747897,8378359,30,868,Thomasborough,25,Maryland,
356860,8625328,21,692,Stevensonfurt,69,Tennessee,
526061,9844322,82,962,South Jeffreyside,72,New York,
328641,4960950,38,684,New Seanfort,75,Nevada,
807226,7385162,98,192,South Amystad,8,New Mexico,
949700,6026849,82,889,West Paulberg,55,Nevada,
134704,8366039,12,577,Shannonville,19,Massachusetts,
524269,4013672,90,932,Sandraberg,45,Nevada,
318869,1011357,33,691,Andersonton,52,Alaska,
12330,2073415,76,371,Kevinport,62,Tennessee,
585755,997939,10,265,New Alishastad,72,Missouri,
698973,8726351,71,987,Port Marcus,84,Wyoming,
654902,4540044,96,290,Petersonside,22,North Carolina,
343154,139640,68,791,West Sarahshire,16,Maine,
157849,3145929,96,494,Matthewport,34,Mississippi,
970204,2627295,60,381,Lake Morganville,69,Texas,
952651,361393,65,115,West Lydia,32,Massachusetts,
818998,7345021,40,153,North Meganberg,92,South Carolina,
564072,6263739,27,747,New Dwayne,11,Indiana,
982542,1652435,69,315,Matthewland,93,Montana,
881870,5470550,67,533,North Jeffreyton,82,Illinois,
152818,8808536,45,819,South Luis,96,Iowa,
747124,3347936,81,418,East Joshuamouth,83,Maine,
96760,5904348,91,426,Allenbury,68,Delaware,
105822,8194957,72,378,West Danaville,78,Oklahoma,
37062,2212217,96,375,Johnsonville,90,Washington,
271733,3467799,88,404,East Darrenshire,0,Michigan,
307396,3626301,38,329,South Deborah,37,Maryland,
596938,1084449,79,278,West Garyfort,49,West Virginia,
122698,6850138,63,996,Chloeburgh,58,Minnesota,
877294,836176,20,615,North Kevin,54,Vermont,
895289,7822827,57,463,Parkmouth,46,Oklahoma,
255243,4291576,23,258,Darylshire,20,Nevada,
876107,9251270,29,229,Thompsonberg,36,Utah,
67991,3557342,26,820,Karenburgh,73,North Dakota,
343275,3413633,36,881,Lake Kimberlyport,36,Hawaii,
192692,6629173,44,874,Brittneyfurt,25,Alabama,
95166,6955410,23,590,Abigailbury,43,New Hampshire,
333575,5939099,81,127,Lake Michael,6,South Dakota,
123223,550543,64,668,East Dustin,34,South Carolina,
900612,5445290,42,183,Jamesview,96,Idaho,
427332,8389092,33,732,Port Nancyfurt,40,Hawaii,
944395,8658868,28,537,Lake James,18,Vermont,
650322,3681884,93,414,Port Denise,72,Vermont,
247208,8737764,28,976,Kirbyview,31,South Dakota,
743717,4775245,44,726,Garymouth,28,Arizona,
31990,8826387,91,342,Hawkinsstad,25,Wisconsin,
960208,8455087,76,750,West Brian,34,South Carolina,
615696,2219971,64,254,Williamsonhaven,18,Minnesota,
29135,7307362,73,638,West Paulstad,92,Virginia,
478963,7611827,93,252,Josephmouth,28,Iowa,
115649,8766102,30,464,Williamsberg,17,South Dakota,
268887,4510519,11,254,Huntshire,7,California,
45970,2902785,40,477,Port Sarahborough,0,New Mexico,
933880,9930126,52,552,Port Rachelbury,68,Colorado,
162492,4668080,86,227,Davidtown,84,Kansas,
714550,5779787,92,282,Joshuatown,64,Arizona,
739509,1074060,45,668,West Kathleen,42,Nevada,
863821,2225645,77,858,Lake Latoyashire,11,Michigan,
25755,6798426,78,718,North Darin,24,Hawaii,
883935,7978146,52,290,Rebeccachester,86,Rhode Island,
380175,8170057,88,705,Williamshaven,87,Rhode Island,
580770,4230769,16,189,Edwardland,52,Arizona,
259978,9244536,53,910,Michaelside,44,Pennsylvania,
741301,602313,46,221,East Gregoryton,3,Kansas,
81017,911406,43,759,Wrightport,99,Wyoming,
736621,4396652,43,437,Dennischester,40,North Dakota,
616206,6202646,54,883,North Alyssamouth,75,Massachusetts,
249311,900113,49,439,Wagnerview,75,Washington,
830181,9050196,96,620,West Wesleyville,85,Virginia,
392205,5560507,62,778,New Gloriaberg,75,Nevada,
540085,4209964,61,451,Port Angel,96,Illinois,
891380,998887,80,813,New Zacharychester,30,Texas,
679927,5021945,51,979,North Jeffrey,31,Indiana,
49368,7469141,14,817,Lake Norman,6,Ohio,
795823,2043120,32,431,New Christinaburgh,53,North Carolina,
432098,7696143,26,484,West Alexstad,61,Delaware,
231322,2414643,50,915,Sarahchester,71,Colorado,
519529,3491170,10,726,North Mike,25,Missouri,
159469,6038585,35,994,Ryanport,6,North Carolina,
910958,3479715,56,856,Taylorport,34,Texas,
872093,7544403,47,157,Holmesborough,36,Mississippi,
999539,9155336,51,214,Lake Robin,18,Washington,
160846,4743263,70,653,East Melaniehaven,58,Louisiana,
940843,2372116,41,387,Craigchester,47,West Virginia,
189161,6911926,25,839,Port Rebeccaburgh,61,Texas,
814658,9118839,31,349,Jenniferland,54,Alaska,
340990,4628646,11,775,Cummingsmouth,47,Iowa,
49591,3032564,45,873,Port Adamfurt,98,New Mexico,
815051,9635852,23,141,South Cynthiachester,97,Iowa,
412836,2386998,57,648,West Ian,83,Massachusetts,
573000,779467,13,907,Nelsontown,89,Oregon,
744013,1072175,78,654,Christopherville,36,Arkansas,
43677,8893741,64,382,Holmeshaven,40,South Dakota,
52710,9605210,17,614,Autumnport,88,Arizona,
118212,949392,74,673,East Jeanetteborough,44,California,
82685,5821218,60,590,East Lori,46,Montana,
145834,7471383,66,200,Ianshire,97,Utah,
393190,7218222,31,116,West Gabrielstad,56,Maryland,
76327,8914197,62,370,North Christopherfurt,4,Kansas,
52154,7809892,32,752,West Lindsey,44,Indiana,
128397,288837,10,882,North Andrewmouth,88,West Virginia,
140268,8131977,64,560,Port Martinton,2,Iowa,
202153,4628329,46,720,Jonesborough,10,Missouri,
377954,1427767,25,495,South Wanda,5,Minnesota,
607517,6735535,99,978,Port Royland,70,Texas,
648268,7635815,29,918,Port Joseph,11,Texas,
481801,9905063,59,389,Gouldmouth,68,Utah,
908686,8461342,38,704,North Misty,76,Wisconsin,
301589,5434462,42,602,North Danielfort,79,Alabama,
277068,7131744,29,605,New Ryanborough,67,Wyoming,
219685,9546923,53,407,Lake Marie,48,California,
50829,5433304,85,131,Jamesmouth,46,Alabama,
310098,5368661,61,251,Port Angelachester,46,Oregon,
915645,5767362,62,514,North Tracy,79,Arkansas,
430984,57392,37,227,South Kathy,55,Utah,
521228,8588529,74,847,Jenniferfurt,86,Washington,
945144,6408008,76,191,Stevensmouth,43,Colorado,
56413,4370700,20,306,Lake Cynthia,14,Montana,
950833,1040046,41,709,North Amber,61,Florida,
269313,9397324,58,951,Christopherfurt,6,Mississippi,
566792,4781716,41,479,Alyssaburgh,54,Alaska,
956536,9579844,38,635,Port Lisaborough,56,Virginia,
489135,3617250,86,420,Rogersland,85,Delaware,
952604,8326790,84,626,Port Theresa,94,Nevada,
905809,2236988,53,814,New Ronald,72,North Dakota,
115014,9368076,48,621,North Michellefurt,4,New Hampshire,
127340,2713244,62,852,Port Wayne,46,Illinois,
697344,1105785,68,811,South Ronald,33,Kentucky,
24177,9152204,61,647,South Travischester,66,Montana,
238538,1255102,26,226,Ortegafort,85,Hawaii,
255712,7534414,32,811,Rodriguezbury,49,Massachusetts,
421016,3896683,85,599,Williamton,15,Tennessee,
533296,1783178,41,918,Stewartfort,48,North Carolina,
608331,7173919,68,191,Danielborough,76,South Dakota,
241869,3089940,13,876,Lake Adamland,80,North Dakota,
920817,5391761,75,956,Carrolltown,30,Tennessee,
912565,5237726,54,904,New Daniel,73,Massachusetts,
507890,3090720,37,404,Josechester,7,North Dakota,
162169,8660294,73,978,Port Keith,59,Kansas,
506525,5596432,10,997,Sampsonhaven,11,Arizona,
457213,8326556,90,212,Perezport,94,Michigan,
48823,3819656,29,421,East Corey,1,Iowa,
39605,2811352,99,266,Port Maryhaven,38,Connecticut,
679288,3051187,46,152,Whitechester,70,Nevada,
562350,1493384,52,263,Wrightside,26,Minnesota,
954724,3801085,22,236,Erintown,39,Arkansas,
335551,4492022,62,697,North Stephenchester,53,Kentucky,
641339,4117133,55,156,Dennisport,86,Oregon,
355954,861408,40,528,South Jane,53,Virginia,
876747,6427033,49,346,Huntland,45,Washington,
730997,6540968,71,325,Michaelshire,13,Oregon,
930404,4128824,15,949,South Ricky,91,South Carolina,
758723,2063866,13,683,Atkinsonfort,79,Oklahoma,
892013,5129951,74,461,Cherylville,46,New Hampshire,
80174,5473749,55,535,West Aimeeville,12,Louisiana,
937056,1433559,27,156,Davidberg,6,New Hampshire,
621572,8680197,90,866,Jacobburgh,45,Illinois,
90592,1251743,95,127,Port Jessicamouth,34,Iowa,
801910,7832982,16,372,New Stephanie,30,Texas,
879098,9125082,93,558,Port Robertton,63,Oregon,
212830,5419532,41,828,Davidshire,91,Alabama,
137538,8766076,56,623,Mcleanshire,84,Missouri,
552319,6059275,62,822,Adkinsland,54,Illinois,
674286,321450,20,621,Markberg,31,Michigan,
219471,9461233,99,601,West Andreaborough,0,Utah,
477762,8733282,26,815,Haleytown,33,Idaho,
593247,2729301,13,279,New Ashley,31,Texas,
330998,8242288,90,731,Fordberg,29,Maryland,
321796,3948606,12,728,West Gregory,52,Arkansas,
806182,764001,36,828,Lake Troymouth,69,Wyoming,
646354,4340889,17,680,North Aaron,13,Alabama,
305944,5115452,50,539,Jamiebury,17,New Mexico,
560237,7743644,35,786,Port David,43,Vermont,
258817,7468790,93,743,New Kelsey,70,North Dakota,
243272,4864421,23,511,North Thomasshire,49,Tennessee,
553375,3693567,67,152,West Ryanburgh,89,Alaska,
763367,813127,82,609,Woodardhaven,5,Iowa,
290218,5052747,32,498,Garyberg,4,Wisconsin,
384760,1224313,87,175,Nguyenton,51,Wyoming,
106921,2974391,23,898,Lake John,19,North Dakota,
178385,365498,11,791,Smithport,63,New Hampshire,
386475,5693538,88,745,Williamsborough,10,New Jersey,
303924,5481196,83,475,North Erik,97,Texas,
210394,811633,28,303,Johnburgh,70,Delaware,
532045,98092,66,693,Leroyborough,47,New Mexico,
357193,7734880,61,273,Garciastad,99,Minnesota,
209983,243475,11,153,Heathside,16,Ohio,
996960,7121014,80,811,Danielland,14,Maine,
277951,2468093,32,712,Hollowaystad,81,Colorado,
880751,5856229,59,927,East Joseph,25,Louisiana,
587427,7671067,75,788,East Stephanieborough,19,Florida,
625712,3631697,46,838,Port April,49,North Dakota,
401629,723055,22,701,South Lisaville,37,Maine,
696715,5013254,71,329,Coxport,7,California,
118643,4807009,51,755,Jamesport,91,Idaho,
899432,3290489,50,979,East Candice,28,North Dakota,
293173,1699804,61,685,Randallland,66,South Dakota,
261573,6778784,59,321,Lorishire,53,Georgia,
82890,250883,75,350,Port Mary,49,Michigan,
998430,7965837,64,211,Jacquelineport,51,Georgia,
767372,7737205,22,438,West Audreyport,41,New York,
774672,460636,12,205,West Charles,23,Massachusetts,
596877,4559066,30,208,West Jasmine,95,Ohio,
407117,1183203,40,351,Andrewhaven,95,Maine,
635217,1005003,21,783,Port Timothytown,7,Massachusetts,
438304,6934197,84,347,New Molly,30,Idaho,
268754,5052514,77,694,Coxville,43,New York,
566683,8979346,77,848,Millerbury,50,Connecticut,
683933,7488199,76,167,East Rebeccatown,74,Montana,
860831,8575358,78,139,Maureenton,18,Rhode Island,
76744,4099233,35,150,West Matthew,69,Kentucky,
975911,8894907,75,201,South Alicia,26,Hawaii,
726170,6548817,91,985,Jeremyhaven,2,California,
225145,6762366,39,444,East Pamelamouth,9,Utah,
840210,251531,43,708,Pittmanmouth,31,Nevada,
269128,9677784,98,283,North Michaela,73,Wisconsin,
40709,265649,13,528,Jacobport,45,Connecticut,
269010,2216836,81,672,Paulachester,75,Colorado,
334379,5959164,24,562,Levyville,45,Alabama,
308137,1871352,49,586,East Scottburgh,86,Utah,
55490,7877277,99,529,North Tonyport,40,Vermont,
815532,2873326,54,843,Katherineborough,58,North Dakota,
864271,6082415,68,463,Port Samantha,1,Kentucky,
509842,9625555,50,756,West Jessicaport,20,Arizona,
212729,5826243,69,777,Patrickside,14,Kansas,
363702,4337215,29,936,Johnsonberg,62,Connecticut,
935914,7197708,14,553,Andrewstad,83,Mississippi,
389001,7385368,85,205,West Curtis,86,Michigan,
223266,1559669,34,896,Brianfurt,37,Michigan,
847410,6227719,73,270,Haynesberg,92,Virginia,
650683,5209211,26,160,Port Patricia,98,Massachusetts,
1549,1960581,80,843,Yangstad,34,New Hampshire,
84307,2414871,76,146,Lake Jerrymouth,79,Virginia,
940238,1537764,83,326,Lake Matthewview,89,Montana,
451243,5493565,58,344,South Destiny,84,Massachusetts,
785172,1862393,87,143,Salazarport,17,South Carolina,
483513,3440986,80,624,Williamside,41,New York,
819469,7209495,84,288,Anitaton,11,Utah,
302954,209359,53,737,Port Robert,54,Minnesota,
711698,855405,88,846,New Ashley,48,Rhode Island,
934572,9740568,21,426,Lake Anthony,34,South Carolina,
476080,3755626,38,214,Jeremyton,51,Illinois,
297621,4547886,43,459,New Jacob,83,Alaska,
457516,3077196,82,629,Port Davidstad,51,West Virginia,
526313,7308637,69,478,Lake Ianshire,86,Virginia,
915580,1398903,98,757,Millerfort,68,Illinois,
324433,8996602,18,142,Brianmouth,43,Wisconsin,
476298,4049917,83,735,East Matthew,8,Nevada,
856539,282219,94,870,Pattonburgh,31,Illinois,
841251,4918601,25,113,West Spencer,47,Utah,
844739,3737200,53,664,New Vanessa,43,Iowa,
878231,8685652,38,783,Port Edwardshire,65,Minnesota,
449493,3214138,42,783,Mejiahaven,28,Idaho,
973637,2319926,74,124,Mandyview,44,Tennessee,
437311,7493051,15,352,West Jeffreyberg,89,Tennessee,
28165,5750049,73,271,South Zachary,56,Iowa,
376701,5460257,95,365,Port Kevin,16,West Virginia,
745100,105091,26,934,New Carloschester,49,Connecticut,
818344,6084816,17,933,Lake Cheryl,3,Arkansas,
312715,8776406,65,723,Dawnland,64,New Jersey,
810082,5221965,41,729,Johnview,22,Vermont,
744945,1377713,62,598,Williamsmouth,44,Arkansas,
910641,5639874,94,160,Louisside,90,Hawaii,
332522,5114750,92,421,Masontown,66,Louisiana,
787080,8569096,52,823,Moorebury,89,Maryland,
375947,6888820,37,766,West Kellyton,0,Montana,
387739,7565140,22,814,West Wayne,82,Kansas,
629229,5654511,89,935,Lake David,53,North Carolina,
644834,7039607,84,229,Wrightton,54,Massachusetts,
787699,5706793,58,604,North Tyrone,64,Hawaii,
507407,6258497,54,155,South Margaretport,65,New York,
565301,7999177,48,703,Carolineview,28,California,
839937,2343330,57,901,North Christopherbury,26,Michigan,
96603,9250358,79,804,Kimfort,85,New Mexico,
740152,6424791,15,513,Phillipton,80,Nebraska,
805646,8431692,48,587,Lake Michelebury,75,Vermont,
871272,5961113,35,828,South Barbarashire,91,Montana,
662954,8235574,94,942,Tuckerside,58,Alaska,
837739,8592659,93,326,East Danielborough,8,Wyoming,
286873,9658710,56,942,Loweryport,46,Missouri,
311722,1163322,50,354,Dianashire,87,Tennessee,
666635,8271352,95,436,Garciaton,19,Nebraska,
938639,2360725,10,806,Josephport,49,Rhode Island,
412289,9166937,95,230,Melaniebury,65,North Carolina,
226537,7552759,54,509,Franklinview,74,Louisiana,
656388,8929916,12,178,Port Victoria,60,Oklahoma,
185239,1775428,74,695,East John,32,Tennessee,
173426,7124794,17,197,West Jefferymouth,46,Louisiana,
987774,1333686,39,115,Maldonadoberg,84,Maine,
1516,6978463,51,527,Christopherfort,62,New Mexico,
741358,8994860,78,175,South Allisonberg,48,Minnesota,
474487,1809742,19,969,Alvarezstad,12,Indiana,
999162,9186707,99,150,South Edward,13,Indiana,
155046,3599393,10,360,East Charlesmouth,82,Virginia,
636904,4984058,56,202,Bakertown,81,Kansas,
595257,3417827,43,714,West Taylorville,4,Maine,
719932,6630324,83,364,New Chelsea,78,Oregon,
951961,176625,96,678,Joshuaton,95,Florida,
379361,485038,48,108,Christophermouth,48,Utah,
773253,522110,99,155,Lake Edward,72,North Carolina,
617499,5011450,99,586,Walterfort,46,Utah,
203645,510983,51,420,Michaelport,28,Illinois,
572315,877696,77,483,East Sonyahaven,64,Oregon,
400709,9508258,54,120,Johnshire,71,Idaho,
781051,2580663,72,530,East Jessicaville,51,Nevada,
954120,7889383,67,633,East Laurenville,6,Montana,
699274,2166004,39,551,New Richardtown,49,South Dakota,
337949,2817993,94,719,South Joseph,1,Illinois,
873670,6056021,54,136,North Matthewburgh,23,Tennessee,
868971,186756,64,645,South Pam,45,Kansas,
767527,355397,26,662,Christopherstad,39,Oklahoma,
940262,2004298,31,990,Grossview,67,New York,
494422,1960908,88,179,New Krista,53,Michigan,
6428,7037478,78,141,Elliottview,58,Minnesota,
620106,2058344,77,649,Coopermouth,63,South Carolina,
445256,6258953,56,977,Rachelmouth,66,Nevada,
816002,9450182,58,519,North Michael,96,Iowa,
36069,205314,19,831,East Amanda,35,Delaware,
431111,473447,90,228,Meyerport,98,South Dakota,
75831,2412123,79,975,Hernandezburgh,69,New Hampshire,
391979,6019788,89,593,Port Danielside,73,West Virginia,
547798,3182576,75,424,Shawnshire,44,Montana,
312452,7065455,52,751,South Jonathanbury,2,New York,
441434,3040582,52,226,Port Theresaside,28,Missouri,
908233,2779820,44,302,Sancheztown,66,Oregon,
793307,7707318,34,703,Andrewshaven,66,Texas,
587680,7419578,45,784,Blackburgh,84,New Jersey,
768174,2997798,58,632,Port Crystal,61,Maryland,
336008,8075041,90,106,Wushire,18,Arizona,
70110,2199079,22,422,Christinastad,58,Oregon,
594991,531927,66,368,Hendersonborough,29,South Carolina,
928842,1936249,11,518,South Catherineland,4,Louisiana,
327309,7930348,55,878,Nicholsbury,2,Idaho,
450049,7422808,94,512,Hillfort,49,Wyoming,
143773,6514837,70,449,New Johnmouth,28,Indiana,
27921,5830065,93,291,Erintown,35,Nevada,
584833,6369679,82,630,Kristiville,19,Connecticut,
531499,2957969,31,104,Smithburgh,42,Idaho,
29703,2354908,45,968,North Kyleside,78,North Dakota,
446744,4833650,45,817,West Thomasmouth,80,Louisiana,
380910,1344167,16,493,Williammouth,43,Utah,
279504,5466449,52,250,Drakeside,17,Nevada,
955753,6069471,62,131,Kennethtown,93,North Carolina,
299059,1867198,49,467,Juliebury,63,Louisiana,
870304,3413865,34,649,Port Brianna,7,Wisconsin,
647177,7972835,44,536,Rogersport,48,South Dakota,
52634,7737145,43,846,Richmondburgh,81,Wisconsin,
997106,6817355,79,425,North Michelleland,5,Nebraska,
540190,8687311,88,742,South Deborahview,48,Missouri,
17147,1516784,44,323,West Daniel,2,South Carolina,
716615,4757882,56,169,Cannonhaven,98,Virginia,
546931,9618301,71,771,Gonzalezside,34,Mississippi,
31134,9438197,48,395,Loribury,33,Mississippi,
342427,9744345,91,999,Zimmermanbury,79,Nevada,
43108,6872079,85,255,North Kayleeland,1,Rhode Island,
660879,3532407,34,332,New Jeffrey,17,Delaware,
825852,5377996,67,598,Johnsonborough,1,Hawaii,
93737,1378748,56,862,Ashleyfort,88,Wisconsin,
271836,7426116,83,931,Melindaview,98,Tennessee,
746850,3251538,46,956,New Michaelmouth,78,New Jersey,
563321,3539867,25,156,North Michael,30,New Hampshire,
208896,3338969,37,608,Williamstad,50,Idaho,
120799,3688640,95,784,Shannonmouth,17,Vermont,
299901,4926788,14,906,East Stuartbury,86,Tennessee,
7569,9656185,46,969,North Alexshire,35,Arizona,
182258,3109470,30,234,Shannonfurt,19,Alaska,
261876,1340047,50,604,Charlesview,11,Ohio,
257429,6037180,63,664,West Caleb,29,Ohio,
482548,8208316,78,862,Lake Josephburgh,30,Alaska,
387048,995152,43,762,Hughesview,19,Pennsylvania,
87092,5371869,45,204,East Judymouth,14,Hawaii,
863154,7451125,69,704,Johnshire,99,New York,
302976,7453207,21,662,South Matthew,24,South Dakota,
328742,507203,39,620,Brittneyborough,72,Nevada,
790406,2566598,14,468,Martinhaven,4,Massachusetts,
762544,3342976,30,428,South Cynthiamouth,31,Oklahoma,
79749,9782808,29,524,Benjaminburgh,11,Iowa,
111960,1871652,38,690,Mooreton,82,Utah,
8133,9570806,21,393,Holmesberg,29,Idaho,
272411,4208524,92,382,Port Moniqueville,11,Tennessee,
63117,6992776,66,640,Leeburgh,77,Iowa,
594594,3799877,29,161,Jasonchester,88,New Jersey,
277761,599625,16,939,Mendozatown,22,Hawaii,
948995,144361,22,566,Brownborough,39,Maine,
860224,8561787,76,903,Christopherport,87,Minnesota,
551141,6842555,63,730,Kristopherton,21,Maine,
30740,6590469,76,755,Faulknermouth,73,Hawaii,
953390,1060818,43,203,Port Francesmouth,0,West Virginia,
391761,6967852,67,518,Hallhaven,72,Arkansas,
294882,7350207,19,445,Port Ashley,41,Massachusetts,
911549,9456272,83,744,New Matthew,48,Vermont,
92857,233391,73,460,Port Loristad,5,Montana,
89192,2999464,28,452,Susanchester,62,Idaho,
156051,8202887,77,473,Watsonshire,7,Arizona,
841827,6240651,23,871,Noblebury,20,Nebraska,
518083,4147374,56,291,Richardsland,81,Arizona,
265099,3711213,64,901,Beckyview,66,New Jersey,
649659,8758731,10,651,Port Jessica,95,California,
935205,7246196,97,661,North Melissa,32,New Mexico,
428715,1095938,72,243,South Michelle,8,Colorado,
936052,9312867,15,735,South Michelle,59,New Mexico,
162264,7738941,70,815,Lake Ericaland,37,Rhode Island,
164468,7664570,24,927,Stevenshire,32,Colorado,
170379,8354434,99,716,New Maria,15,Illinois,
874820,6830440,45,375,Port Micheleberg,89,Nevada,
804042,5335548,97,410,Petersonfurt,34,Arizona,
702977,3456712,12,363,West Lindaville,24,Pennsylvania,
682184,2568252,29,285,North Lisa,66,Indiana,
59032,7752689,57,374,South Amyland,76,New Jersey,
271200,8177892,93,125,Aliciachester,63,New Jersey,
170997,3913273,32,344,South Stevenbury,72,Alaska,
689424,5982480,66,747,Sheltonport,11,Wisconsin,
820137,1273592,55,494,East Marcus,52,Vermont,
985750,1969512,12,618,West Kathryn,40,Texas,
670851,1029132,23,518,East Katiehaven,97,Rhode Island,
370266,6217088,66,600,Patricialand,89,Missouri,
264735,245695,71,143,South Kyleton,8,Michigan,
241161,3933542,82,447,Janethaven,28,Tennessee,
21714,9091951,91,825,Wendyburgh,67,Connecticut,
625921,2917475,94,753,Jamesfurt,46,Nevada,
633010,6376264,54,267,Kelleytown,53,Montana,
797493,5781605,99,638,South Wendy,58,Minnesota,
795384,8363981,69,663,North Amyfurt,93,West Virginia,
864786,2321082,70,513,West Gabriella,39,Rhode Island,
563252,7693131,94,181,Lake Katherineshire,0,Delaware,
121099,7356658,23,554,East Juan,8,Arkansas,
527726,6911017,66,162,Brandonshire,5,Michigan,
483723,230746,83,274,Davidport,55,Utah,
211944,3056579,23,429,Rivaston,43,California,
64132,1299819,79,377,Bellland,94,Wisconsin,
930617,869113,91,534,Schmidtland,83,Iowa,
976723,9613976,54,573,East Gregory,44,Mississippi,
995879,7978157,87,579,West Angela,68,Maryland,
482321,7655426,10,512,Francesberg,9,Kansas,
728030,7706158,82,462,Collinsside,98,North Carolina,
241154,7077124,72,976,Richardmouth,91,Kansas,
481679,7229314,70,247,Jessicastad,99,Georgia,
593012,5480280,44,233,Port Katelynshire,4,Illinois,
922014,796066,80,333,New Kayla,25,Nevada,
680631,3081683,83,484,Port Erik,40,Pennsylvania,
426927,7042330,43,856,Lake Catherine,41,Tennessee,
983535,6079399,19,842,Wilcoxborough,10,New Jersey,
