ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,Percent Change,Gentrified,Auto Customization,Auto Loan Providers,Auto Parts Supplies,Auto Repair,Barbers,Barre Classes,Bars,Beer Gardens,Bespoke,Bikes,Blowout Services,Body Shops,Boot Camps,Breakfast/Brunch,Breweries,Cafes,Cannabis Clinics,Cannabis Dispensaries,Cannabis Referrals,Car Shares,Cocktail Bars,Coffee,Coffee Roasteries,Cycling Classes,Discount Store,Distilleries,Dive Bars,Dog Parks,Doulas,Empanadas,Food Banks,Galleries,Guns and Ammo,Gyms,Hairstylists,Health Markets,Homeless Shelters,Intl Grocery,Juice Bars,Kombucha,Mexican,Movie Theaters,Music Venues,Organic Stores,Paint And Sip,Pawn,Pets,Pilates,Public Art,Pubs,Skate Parks,Tattoo,Theater,Thrift Stores,Vape Shops,Vegan,Vegetarian,Vintage,Wine Bars,Yoga
78750,78428,107814.8156,73659,-0.316800761,N,0,0,4,3,5,0,0,0,0,0,0,5,0,5,0,1,null,null,null,0,null,4,null,0,0,null,1,1,0,null,0,0,2,6,18,1,null,null,2,0,12,null,0,0,2,2,null,1,null,null,0,3,null,3,null,0,0,2,0,4
78751,29779,40937.13209,41279,0.008351047,N,0,0,3,2,3,0,4,0,0,4,0,0,3,4,0,0,null,null,null,0,null,5,null,0,0,null,1,0,2,null,0,5,0,9,1,0,null,null,2,0,9,null,0,0,0,1,null,2,null,null,0,4,null,0,null,4,1,9,1,5
78752,30207,41525.50283,37396,-0.099444981,N,0,0,4,2,4,0,2,0,0,2,0,5,1,0,1,2,null,null,null,0,null,4,null,0,0,null,0,0,0,null,0,1,0,6,1,0,null,null,1,0,15,null,1,0,0,3,null,0,null,null,0,0,null,1,null,0,0,0,0,2
78753,38206,52521.71223,39228,-0.253108889,N,4,0,13,15,3,0,3,0,0,0,0,21,0,0,0,0,null,null,null,0,null,3,null,0,3,null,1,0,0,null,0,0,0,4,4,2,null,null,6,0,37,null,0,0,0,4,null,0,null,null,0,1,null,1,null,2,0,0,0,1
78754,51810,71223.10398,53040,-0.255297831,N,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,null,null,null,0,null,1,null,0,0,null,0,0,0,null,0,0,0,1,2,0,null,null,0,0,3,null,0,0,0,0,null,0,null,null,0,0,null,0,null,0,0,0,0,0
78756,36978,50833.58307,63750,0.254092199,Y,0,0,2,1,3,1,0,0,0,0,0,0,0,5,0,3,null,null,null,0,null,7,null,0,0,null,1,0,0,null,0,3,0,6,7,2,null,null,1,0,10,null,0,0,0,0,null,3,null,null,0,6,null,6,null,0,2,4,2,6
78757,45090,61985.13334,60856,-0.018216196,N,0,0,4,2,15,0,6,0,0,2,4,3,1,6,0,0,null,null,null,0,null,7,null,0,2,null,2,0,1,null,0,5,0,10,25,0,null,null,4,0,17,null,0,0,1,2,null,0,null,null,0,7,null,2,null,0,0,5,0,8
78758,42398,58284.44629,44476,-0.236914772,N,0,0,19,20,5,1,8,0,2,1,3,20,2,3,5,0,null,null,null,0,null,9,null,0,2,null,2,0,1,null,0,2,0,9,10,2,null,null,3,0,19,null,1,0,1,1,null,4,null,null,0,2,null,1,null,0,1,2,2,4
78759,61284,84246.99294,70095,-0.167982173,N,0,0,3,3,2,0,2,0,0,3,0,2,1,6,2,4,null,null,null,0,null,5,null,0,0,null,0,0,0,null,0,2,0,6,10,3,null,null,4,0,14,null,0,0,0,3,null,0,null,null,0,2,null,1,null,0,0,0,0,5
94102,22351,30725.87526,24127,-0.214766063,N,0,null,0,null,9,2,19,0,3,0,4,8,0,20,0,22,1,0,null,1,19,64,0,0,null,null,5,0,0,0,0,50,null,null,22,1,1,0,3,0,19,0,20,0,0,0,0,null,null,4,0,3,null,0,null,3,1,2,11,11
94103,31131,42795.7238,41612,-0.027659862,N,0,null,6,null,7,2,21,0,2,1,0,30,4,23,3,21,18,0,null,0,12,66,0,0,null,null,11,1,0,3,0,69,null,null,18,0,1,0,12,0,33,0,19,0,1,5,0,null,null,0,3,9,null,0,null,8,0,3,5,17
94104,14609,20082.96325,80341,3.000455461,Y,0,null,0,null,10,0,3,0,0,0,3,0,0,4,0,3,0,0,null,0,1,20,0,0,null,null,1,0,1,0,0,7,null,null,9,0,0,0,6,0,3,0,0,0,0,0,0,null,null,0,0,0,null,0,null,0,0,0,1,3
94105,88976,122315.1303,170656,0.395215781,N,0,null,0,null,1,1,7,0,0,1,0,0,0,11,2,7,6,0,null,0,7,45,2,2,null,null,2,0,1,0,0,18,null,null,5,0,0,0,9,0,16,0,5,1,0,0,1,null,null,2,0,1,null,0,null,0,2,0,4,3
94107,61362,84354.21938,120610,0.429803997,N,0,null,1,null,3,1,18,0,1,6,0,22,7,14,11,10,2,0,null,0,6,33,0,3,null,null,1,1,1,0,1,30,null,null,7,4,0,0,2,1,14,0,7,0,1,0,0,null,null,1,0,1,null,1,null,0,0,2,7,15
94108,31542,43360.72468,36875,-0.149576021,N,0,null,0,null,16,0,5,0,6,0,8,0,1,8,0,9,1,0,null,1,9,37,0,0,null,null,4,0,0,0,0,43,null,null,54,3,0,2,4,0,4,0,0,0,0,2,0,null,null,3,0,1,null,0,null,1,2,2,5,3
94109,43444,59722.38041,63173,0.057777663,N,0,null,0,null,9,0,21,1,1,0,3,19,7,16,1,22,4,0,null,0,12,37,0,0,null,null,8,1,3,0,0,39,null,null,23,5,1,0,7,0,8,0,7,0,0,0,0,null,null,6,0,3,null,0,null,1,0,11,11,9
94110,53795,73951.87953,84488,0.142472653,N,0,null,4,null,18,1,36,0,1,1,0,15,3,23,2,16,7,0,null,0,13,52,0,0,null,null,24,1,7,2,0,59,null,null,14,3,0,0,9,0,76,1,10,1,0,5,0,null,null,8,0,23,null,3,null,5,2,16,9,45
94111,56569,77765.29181,103472,0.330567887,N,0,null,0,null,10,1,11,0,3,2,0,0,4,5,0,11,2,0,null,0,0,46,0,0,null,null,0,0,0,0,0,7,null,null,7,2,0,0,4,0,15,0,2,0,0,0,0,null,null,5,0,0,null,0,null,0,3,0,5,6
94112,57629,79222.47171,71505,-0.097415185,N,1,null,2,null,15,0,4,1,0,0,0,6,0,3,0,1,8,0,null,0,0,15,0,0,null,null,6,2,4,0,0,2,null,null,6,0,0,0,0,0,15,0,0,0,0,0,0,null,null,1,1,6,null,0,null,0,0,0,1,8
94114,75727,104101.7563,122970,0.181248082,N,0,null,0,null,17,0,3,0,0,0,1,2,3,14,1,2,6,0,null,0,4,27,0,1,null,null,3,2,2,0,0,6,null,null,11,6,0,0,5,0,10,0,2,0,0,0,0,null,null,3,0,8,null,0,null,0,0,6,5,18
94115,54879,75442.05217,85330,0.131066793,N,0,null,2,null,6,0,6,0,0,0,4,3,0,0,1,9,0,0,null,0,0,24,0,0,null,null,1,0,1,1,0,11,null,null,9,1,0,1,1,0,3,0,2,0,0,0,0,null,null,1,0,0,null,0,null,0,0,4,4,20
94116,66627,91592.00441,84828,-0.073849289,N,0,null,1,null,6,0,4,0,0,0,0,1,0,4,0,0,0,0,null,0,0,8,0,0,null,null,0,0,4,0,0,3,null,null,3,0,0,0,0,0,1,0,0,0,0,0,0,null,null,4,0,0,null,0,null,0,0,0,0,2
94117,63983,87957.30287,103333,0.174808647,N,0,null,0,null,10,0,7,0,0,0,0,2,4,11,3,8,8,0,null,0,4,27,1,0,null,null,6,2,6,0,0,7,null,null,13,8,0,0,0,0,11,0,6,0,0,0,0,null,null,6,1,9,null,0,null,2,0,13,5,35
94118,61609,84693.76979,82993,-0.020081404,N,0,null,0,null,2,0,8,0,0,0,2,2,0,7,0,7,2,0,null,0,0,29,0,0,null,null,4,0,0,0,0,17,null,null,8,0,0,2,0,0,4,0,4,0,0,0,0,null,null,6,0,3,null,0,null,0,0,5,4,19
94121,61776,84923.34436,70220,-0.173136662,N,0,null,0,null,7,0,1,0,0,0,0,0,2,6,2,5,1,0,null,0,0,18,1,0,null,null,2,1,4,0,0,6,null,null,4,2,0,0,0,0,5,0,0,0,0,0,0,null,null,4,0,0,null,0,null,0,0,2,0,7
94122,60733,83489.53433,86070,0.030907654,N,0,null,1,null,9,1,3,0,0,0,0,0,3,7,2,6,0,1,null,0,0,33,0,0,null,null,3,2,5,0,0,7,null,null,4,3,0,1,6,0,10,0,1,0,0,0,0,null,null,4,0,6,null,1,null,3,0,4,3,13
94123,84710,116450.6686,121200,0.040784063,N,0,null,0,null,9,6,7,0,0,0,4,2,3,11,0,4,1,0,null,0,8,15,2,1,null,null,3,0,1,0,0,8,null,null,28,0,0,0,5,0,10,0,0,1,0,1,0,null,null,4,0,0,null,0,null,2,1,4,7,13
94124,37146,51064.53234,49594,-0.028797529,N,1,null,8,null,6,0,2,0,0,1,0,25,0,4,4,4,1,0,null,0,0,13,0,0,null,null,0,0,0,0,0,15,null,null,0,1,0,0,1,0,17,0,2,0,0,0,0,null,null,0,1,1,null,2,null,0,0,2,1,2
94127,95313,131026.5916,131108,0.000621312,N,0,null,0,null,5,2,0,0,0,0,1,0,0,4,0,0,0,1,null,0,0,9,0,0,null,null,3,0,1,0,0,0,null,null,6,0,0,0,0,0,5,0,1,0,0,2,0,null,null,3,0,2,null,0,null,0,0,2,2,6
94129,73571,101137.9074,144886,0.432558807,N,0,null,0,null,0,0,0,0,0,0,0,0,0,4,0,3,0,0,null,0,0,5,0,0,null,null,0,0,1,0,0,6,null,null,0,0,0,0,0,0,1,0,0,0,0,0,0,null,null,0,0,0,null,0,null,0,0,0,0,4
94130,80959,111294.1763,38077,-0.657870688,N,0,null,0,null,0,0,1,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,null,null,0,0,0,0,0,0,null,null,0,0,0,0,0,0,2,0,0,0,0,0,0,null,null,0,0,0,null,0,null,0,0,0,0,0
94131,76044,104537.5356,100114,-0.042315285,N,0,null,0,null,0,0,0,0,0,0,0,1,0,4,0,0,0,0,null,0,0,10,0,0,null,null,1,3,2,0,0,4,null,null,4,0,0,0,1,0,1,0,0,0,0,0,0,null,null,0,0,0,null,0,null,0,0,0,0,6
94132,55000,75608.39063,66607,-0.1190528,N,0,null,0,null,0,0,0,0,0,0,0,1,4,0,0,3,1,0,null,0,0,16,0,0,null,null,0,2,1,0,0,1,null,null,1,3,0,0,0,0,6,0,0,0,0,1,0,null,null,1,0,0,null,1,null,0,0,0,0,2
94133,40990,56348.87149,53150,-0.056769043,N,0,null,0,null,6,0,18,0,0,1,0,0,0,15,0,14,0,0,null,0,10,33,0,1,null,null,8,0,0,0,0,25,null,null,4,5,0,2,3,0,8,1,5,0,0,0,0,null,null,7,0,5,null,0,null,1,0,1,5,5
94134,54342,74703.83934,60230,-0.193749605,N,0,null,4,null,2,0,2,0,0,0,0,0,0,0,1,2,0,0,null,0,0,8,0,0,null,null,1,0,0,0,0,1,null,null,0,2,0,0,0,0,6,0,0,0,0,0,0,null,null,0,0,0,null,0,null,0,0,0,0,0
94577,50888,69955.63241,64660,-0.075699872,N,2,0,19,null,23,0,0,0,null,4,0,12,3,11,3,2,0,0,null,0,1,16,0,0,null,null,4,1,0,null,0,0,null,null,18,1,null,null,0,1,25,null,0,0,null,0,0,null,null,0,1,2,null,2,null,0,0,0,1,2
94601,33152,45573.98848,39601,-0.131061351,N,2,0,10,null,7,0,4,0,null,1,0,17,0,5,1,3,3,0,null,0,0,8,1,0,null,null,3,0,1,null,0,7,null,null,6,0,null,null,3,0,82,null,2,0,null,1,0,null,null,0,0,8,null,2,null,0,0,1,0,0
94602,55321,76049.6687,68813,-0.095157136,N,0,0,0,null,6,0,0,0,null,0,1,1,0,5,0,2,1,0,null,0,1,7,0,0,null,null,1,2,3,null,0,2,null,null,4,2,null,null,0,0,6,null,0,0,null,0,0,null,null,0,0,3,null,0,null,0,0,3,0,5
94603,34755,47777.62939,40962,-0.142653151,N,0,0,3,null,5,0,0,0,null,0,0,5,0,0,0,0,0,0,null,0,0,1,0,0,null,null,0,0,0,null,0,0,null,null,1,0,null,null,0,0,10,null,0,0,null,0,0,null,null,0,0,1,null,0,null,0,0,0,0,1
94605,47288,65006.71957,57610,-0.113783923,N,0,1,3,null,10,0,1,0,null,0,0,4,0,2,0,2,1,0,null,0,0,0,0,0,null,null,0,0,0,null,0,0,null,null,3,0,null,null,0,0,5,null,2,0,null,0,0,null,null,0,0,2,null,1,null,0,0,0,0,3
94606,32273,44365.62893,37288,-0.159529552,N,0,0,9,null,4,0,1,0,null,1,0,26,0,0,0,2,3,0,null,0,0,20,0,0,null,null,3,0,1,null,0,5,null,null,3,0,null,null,0,0,18,null,2,0,null,0,0,null,null,0,0,2,null,2,null,0,0,1,0,3
94607,21124,29039.1208,34192,0.177446116,Y,1,0,9,null,5,0,13,0,null,1,0,6,0,12,4,10,4,0,null,0,0,33,2,0,null,null,1,2,1,null,0,11,null,null,11,3,null,null,6,0,18,null,0,0,null,0,0,null,null,3,0,1,null,2,null,3,2,0,4,2
94608,33556,46129.36647,55959,0.213088414,N,0,0,6,null,8,0,3,0,null,3,0,9,2,10,1,0,2,0,null,0,0,21,3,0,null,null,1,0,2,null,1,11,null,null,6,2,null,null,3,0,19,null,0,0,null,0,0,null,null,0,1,0,null,2,null,0,1,0,0,15
94609,34398,47286.8622,56378,0.192255045,N,0,0,0,null,12,0,3,1,null,3,0,8,2,6,0,3,3,0,null,0,4,18,0,0,null,null,2,1,4,null,0,8,null,null,7,2,null,null,2,0,5,null,2,0,null,1,0,null,null,3,0,3,null,1,null,1,0,3,1,15
94610,49066,67450.93263,73850,0.094869961,N,0,0,0,null,7,2,5,0,null,3,2,0,0,5,0,3,2,0,null,0,2,14,0,0,null,null,3,0,4,null,0,4,null,null,10,2,null,null,3,0,2,null,0,0,null,0,0,null,null,0,0,3,null,1,null,0,0,6,2,14
94611,68853,94652.08219,107577,0.136551859,N,0,0,3,null,5,2,3,0,null,3,0,2,5,5,0,4,1,0,null,0,1,22,0,0,null,null,2,0,6,null,0,6,null,null,21,0,null,null,3,0,8,null,0,0,null,0,0,null,null,1,0,2,null,0,null,0,0,7,2,12
94612,20034,27540.69996,30879,0.121213333,Y,0,0,3,null,14,0,13,4,null,3,0,7,4,8,2,15,9,1,null,0,9,34,2,1,null,null,5,0,3,null,0,30,null,null,8,0,null,null,5,0,21,null,13,0,null,2,0,null,null,2,0,4,null,1,null,3,1,4,2,17
94618,77952,107160.4594,123575,0.153177214,N,0,0,0,null,6,1,3,0,null,1,0,0,2,2,0,2,0,0,null,1,0,12,0,0,null,null,2,0,3,null,0,3,null,null,12,0,null,null,0,0,2,null,1,0,null,0,1,null,null,1,1,0,null,0,null,1,0,5,2,4
94619,54174,74472.89008,78676,0.05643812,N,0,0,1,null,5,0,0,0,null,0,0,0,0,5,0,0,0,0,null,0,0,2,0,0,null,null,0,0,2,null,0,2,null,null,11,0,null,null,1,0,3,null,0,0,null,0,0,null,null,0,0,1,null,1,null,0,0,0,0,2
94621,29181,40115.06267,30528,-0.238989099,N,0,0,5,null,4,0,4,0,null,0,0,7,0,0,1,3,3,0,null,0,0,8,0,0,null,null,0,0,0,null,0,0,null,null,0,1,null,null,3,0,18,null,2,1,null,0,0,null,null,2,0,0,null,0,null,0,0,0,1,0
97034,84192,115738.575,104020,-0.101250382,N,null,null,0,null,null,1,0,0,0,2,null,1,0,0,0,0,0,0,0,null,2,8,0,0,null,null,0,1,0,null,0,2,0,null,null,0,0,0,0,0,3,0,0,1,0,0,null,null,null,2,0,0,null,0,0,0,0,3,0,4
97035,62089,85353.62484,73330,-0.140868356,N,null,null,0,null,null,2,4,0,0,0,null,0,3,2,0,0,0,0,0,null,0,12,0,1,null,null,0,0,0,null,0,0,0,null,null,0,0,0,0,0,5,0,0,0,0,0,null,null,null,2,0,0,null,0,0,0,0,0,3,4
97080,56742,78003.11457,63032,-0.191929702,N,null,null,0,null,null,0,1,0,0,0,null,4,0,0,0,0,0,0,0,null,0,1,0,0,null,null,0,0,0,null,0,0,0,null,null,0,0,0,0,0,1,0,0,0,0,0,null,null,null,0,0,0,null,0,0,0,0,0,0,0
97201,42569,58519.51965,44393,-0.241398421,N,null,null,0,null,null,0,3,0,0,4,null,0,1,7,0,6,1,0,0,null,1,27,0,0,null,null,1,0,0,null,0,2,0,null,null,2,0,0,2,0,14,0,5,0,2,0,null,null,null,4,0,0,null,0,0,5,1,0,0,3
97202,39879,54821.582,55606,0.014308562,N,null,null,0,null,null,3,12,0,0,9,null,4,2,13,3,6,8,0,0,null,2,32,0,0,null,null,8,0,2,null,0,11,0,null,null,3,0,0,5,3,18,0,4,0,1,0,null,null,null,13,0,0,null,2,0,11,0,10,3,18
97203,35266,48480.10007,42912,-0.114853312,N,null,null,0,null,null,0,7,0,0,2,null,1,0,5,0,3,3,0,0,null,0,12,0,0,null,null,3,0,0,null,0,5,1,null,null,0,0,0,0,1,8,0,0,0,0,1,null,null,null,8,0,0,null,1,0,1,0,2,0,1
97204,10465,14386.21469,13576,-0.056318824,N,null,null,0,null,null,0,11,0,0,1,null,0,2,2,0,5,0,3,0,null,6,36,0,0,null,null,5,0,0,null,0,12,0,null,null,2,0,0,3,0,11,0,5,0,0,1,null,null,null,4,0,0,null,0,0,4,5,0,1,3
97205,18158,24961.76649,29782,0.193104663,Y,null,null,0,null,null,0,15,0,2,1,null,0,0,4,0,2,0,0,0,null,5,31,1,0,null,null,3,0,0,null,0,2,0,null,null,0,0,0,3,0,8,1,3,0,0,0,null,null,null,3,0,0,null,0,0,0,1,3,0,7
97206,38040,52293.51236,52414,0.002304065,N,null,null,0,null,null,0,12,1,0,5,null,3,0,10,0,6,5,3,0,null,0,21,0,0,null,null,5,3,3,null,0,2,0,null,null,2,0,0,2,0,24,0,3,0,0,2,null,null,null,4,1,0,null,5,0,0,0,5,1,6
97209,22185,30497.67539,42936,0.407845006,Y,null,null,0,null,null,3,19,0,0,7,null,1,4,11,5,9,2,2,0,null,8,38,0,3,null,null,7,0,2,null,0,37,0,null,null,2,0,0,2,0,16,1,6,0,0,0,null,null,null,13,0,2,null,1,0,0,3,8,6,5
97210,42759,58780.71227,71949,0.224023956,N,null,null,0,null,null,0,5,0,0,2,null,2,0,0,0,1,3,0,0,null,2,24,0,0,null,null,0,1,0,null,1,9,0,null,null,0,0,0,1,0,8,0,0,0,1,0,null,null,null,1,0,0,null,2,0,0,0,4,3,6
97211,40582,55787.9947,62938,0.12816387,N,null,null,0,null,null,1,12,1,0,2,null,5,0,9,0,5,5,0,0,null,2,24,0,0,null,null,2,0,1,null,1,8,0,null,null,0,0,0,3,0,17,0,6,0,0,0,null,null,null,5,0,0,null,1,0,7,1,5,2,9
97212,53679,73792.41456,84100,0.139683537,N,null,null,0,null,null,0,5,0,0,3,null,0,6,5,0,0,4,0,0,null,0,10,0,0,null,null,3,0,0,null,0,2,0,null,null,0,0,0,0,0,1,0,3,0,1,0,null,null,null,3,0,0,null,2,0,2,1,4,1,9
97213,44395,61029.71822,58176,-0.046759485,N,null,null,0,null,null,0,5,0,0,4,null,5,0,8,1,2,4,2,0,null,0,19,1,0,null,null,2,1,0,null,0,4,0,null,null,0,0,0,0,0,4,0,0,0,0,1,null,null,null,8,0,0,null,5,0,0,1,8,1,8
97214,35013,48132.30148,52440,0.08949704,N,null,null,1,null,null,0,26,0,0,17,null,8,0,25,4,6,8,3,1,null,8,46,0,0,null,null,10,0,1,null,0,20,0,null,null,4,1,0,6,0,27,1,7,0,0,0,null,null,null,9,0,0,null,7,0,13,3,22,7,13
97215,48262,66345.67543,68016,0.025176088,N,null,null,0,null,null,0,4,1,0,1,null,2,0,5,0,4,0,0,0,null,0,12,0,0,null,null,7,0,0,null,0,2,0,null,null,0,0,0,2,0,5,0,0,0,0,0,null,null,null,6,0,0,null,0,0,0,2,5,1,8
97216,38066,52329.25451,44919,-0.141608257,N,null,null,0,null,null,0,1,0,0,1,null,9,0,3,0,3,2,0,0,null,0,4,0,0,null,null,2,0,0,null,0,0,0,null,null,0,0,0,0,0,8,0,0,0,0,0,null,null,null,2,0,0,null,0,0,0,0,1,0,0
97217,38442,52846.14096,53704,0.016233144,N,null,null,0,null,null,0,16,0,0,3,null,2,1,13,0,4,5,3,0,null,4,19,0,0,null,null,3,1,0,null,0,3,0,null,null,2,0,0,0,1,22,0,4,0,0,1,null,null,null,9,0,0,null,0,0,6,0,5,4,3
97218,37011,50878.9481,48448,-0.047779056,N,null,null,0,null,null,0,6,0,0,2,null,3,0,5,0,2,1,0,0,null,0,10,2,0,null,null,0,1,0,null,0,2,0,null,null,0,0,0,0,0,8,0,0,0,0,0,null,null,null,4,0,0,null,0,0,0,0,0,1,1
97219,58461,80366.22045,77598,-0.034445075,N,null,null,0,null,null,0,3,0,0,2,null,3,0,4,0,4,7,4,0,null,0,12,0,0,null,null,1,1,1,null,1,0,1,null,null,0,0,0,0,0,8,0,0,0,0,0,null,null,null,5,0,0,null,0,0,2,0,1,0,3
97220,39649,54505.40146,46908,-0.139388047,N,null,null,0,null,null,0,9,0,0,2,null,4,0,4,0,1,5,4,0,null,0,9,0,0,null,null,3,0,0,null,0,0,0,null,null,0,0,1,2,0,13,0,0,0,0,3,null,null,null,1,1,0,null,2,0,0,0,1,0,0
97221,65229,89670.17659,92174,0.027922588,N,null,null,0,null,null,0,0,0,0,0,null,1,0,0,0,1,2,1,0,null,0,3,0,0,null,null,0,0,0,null,0,1,0,null,null,0,0,0,0,0,2,0,0,0,0,0,null,null,null,0,0,0,null,1,0,0,0,0,0,0
97222,40899,56223.77397,49558,-0.118557925,N,null,null,0,null,null,0,0,0,0,1,null,2,0,5,0,3,1,0,0,null,0,15,0,0,null,null,0,0,0,null,0,1,1,null,null,1,0,0,0,0,10,0,0,0,0,0,null,null,null,3,0,0,null,4,1,1,0,1,1,0
97223,52527,72208.76245,65109,-0.098322727,N,null,null,0,null,null,0,4,0,0,2,null,5,0,0,3,2,2,0,0,null,0,24,0,0,null,null,0,3,0,null,0,2,3,null,null,2,0,1,2,0,14,0,1,0,1,2,null,null,null,8,0,1,null,5,0,0,0,2,0,1
97225,53020,72886.48857,72010,-0.012025392,N,null,null,0,null,null,0,2,0,0,0,null,2,2,3,0,1,0,1,0,null,0,8,0,1,null,null,0,0,0,null,0,1,0,null,null,0,0,0,0,0,5,0,0,0,0,0,null,null,null,4,0,0,null,1,0,0,0,2,0,0
97227,27432,37710.71585,44342,0.175846149,Y,null,null,0,null,null,1,8,1,0,4,null,1,0,6,3,6,1,0,0,null,1,7,1,0,null,null,2,0,0,null,0,3,0,null,null,0,0,0,0,0,8,0,6,1,0,0,null,null,null,5,0,0,null,0,0,3,0,3,2,2
97229,70082,96341.58604,98303,0.020358954,N,null,null,0,null,null,1,0,0,0,0,null,3,1,2,0,0,0,0,0,null,0,8,0,1,null,null,2,1,0,null,0,1,0,null,null,2,0,0,1,0,8,0,0,0,0,0,null,null,null,1,0,0,null,0,0,1,0,4,3,3
97230,41262,56722.78935,46237,-0.184860256,N,null,null,0,null,null,0,3,0,0,0,null,3,0,0,0,0,5,0,0,null,0,7,0,0,null,null,1,0,0,null,0,0,0,null,null,0,0,0,0,0,7,0,0,0,0,0,null,null,null,2,0,0,null,3,0,0,0,0,0,0
97231,65164,89580.82122,85481,-0.04576673,N,null,null,0,null,null,0,0,0,0,0,null,0,0,0,0,0,0,0,0,null,0,1,0,0,null,null,0,0,0,null,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0,null,null,null,0,0,0,null,0,0,0,0,0,0,0
97232,35755,49152.3274,45671,-0.070827316,N,null,null,0,null,null,2,9,0,0,1,null,6,3,10,1,5,7,1,0,null,5,34,0,1,null,null,6,0,2,null,0,5,0,null,null,2,0,0,1,0,11,0,2,0,0,0,null,null,null,3,0,0,null,7,0,7,2,7,5,8
97233,35291,48514.46752,39150,-0.193024226,N,null,null,0,null,null,0,4,0,0,0,null,3,0,0,0,2,1,1,0,null,0,6,0,0,null,null,0,0,0,null,0,0,0,null,null,2,0,0,0,0,23,0,0,0,0,3,null,null,null,1,0,0,null,0,0,0,0,0,0,0
97236,43515,59819.98397,40907,-0.316164979,N,null,null,0,null,null,0,5,0,0,0,null,2,0,0,0,1,5,0,0,null,0,4,0,0,null,null,1,0,0,null,0,0,0,null,null,0,0,1,0,0,8,0,2,0,0,3,null,null,null,3,0,0,null,0,0,0,0,1,0,0
97266,37234,51185.50576,36772,-0.281593501,N,null,null,0,null,null,0,5,0,0,2,null,14,0,2,0,1,5,2,0,null,0,11,0,0,null,null,3,0,0,null,0,0,0,null,null,0,0,3,3,0,25,0,0,0,0,1,null,null,null,2,0,0,null,4,0,2,0,1,0,0