zip,percent_change_house,percent_change_income,percent_change_rent,index_change,percent_change_public_tranp,percent_change_population,percent_change_white,outcome
96094,1.032224532,0.34,0.8,0.72,-0.833333333,0.083,0.042,1
95815,0.355688623,0.14,0.672,0.45,-0.520547945,0.017,-0.032,1
93250,0.570117955,0.39,0.7390000000000001,0.03,0.666666667,0.292,1.7480000000000002,0
92705,0.9227091629999999,0.33,0.57,0.24,0.166666667,0.047,0.071,0
94520,0.542402827,0.16,0.489,0.31,0.02970297,0.071,0.079,1
92026,0.7319830429999999,0.11,0.578,0.1,-0.352941176,0.151,0.075,1
95203,0.623541888,0.31,0.6920000000000001,0.69,-0.41666666700000005,-0.039,0.24600000000000002,0
95765,0.529134533,0.05,0.252,-0.06,0.0,1.351,-0.096,1
93654,0.577634011,0.35,0.674,0.23,4.5,0.21899999999999997,0.115,0
95694,0.890849673,0.19,0.502,0.46,3.5,0.14,0.013999999999999999,0
95932,0.406510851,0.37,0.5870000000000001,0.43,0.875,0.043,0.039,0
94621,0.39321511200000003,0.05,0.718,0.35,-0.103030303,0.05,0.731,1
94973,0.588535623,0.46,0.249,0.88,1.333333333,0.27699999999999997,0.028999999999999998,0
94585,0.191818684,0.07,0.718,-0.07,0.363636364,-0.256,-0.318,1
92122,0.742806812,0.37,0.535,0.45,1.4827586209999999,0.278,-0.182,0
92845,1.023549201,0.33,0.47200000000000003,0.25,5.0,0.084,-0.076,0
93110,0.38240469200000005,0.45,0.556,0.3,1.045454545,0.1,-0.085,0
92201,0.44014733,0.11,0.5489999999999999,0.3,0.0,0.135,-0.055999999999999994,1
94903,0.428148486,0.22,0.418,0.18,0.011111111000000002,0.06,-0.08,0
91506,1.217304625,0.38,0.736,0.72,0.857142857,-0.006,-0.045,0
91030,1.164369311,0.44,0.6729999999999999,0.31,4.454545455,0.081,-0.09300000000000001,0
92335,0.696691176,0.23,0.638,0.17,0.04,0.205,0.145,0
91504,0.988597097,0.28,0.7140000000000001,0.42,-0.14285714300000002,-0.013000000000000001,0.049,0
92126,0.897191813,0.42,0.6759999999999999,0.55,0.0,0.054000000000000006,-0.16899999999999998,0
90731,0.864796986,0.39,0.642,0.42,0.1,0.064,0.157,0
92657,0.290490386,0.43,0.196,0.04,-0.666666667,0.746,-0.062,1
94070,0.503030303,0.41,0.40299999999999997,0.7,0.324324324,0.064,-0.066,0
91913,0.738922676,0.27,0.569,-0.08,0.23076923100000002,2.3890000000000002,-0.10099999999999999,0
93060,0.732348112,0.27,0.647,0.55,1.714285714,0.040999999999999995,0.29600000000000004,0
93705,0.562807882,0.06,0.6409999999999999,-0.09,0.2,0.076,0.037000000000000005,1
92064,0.780851064,0.35,0.624,0.32,0.1,0.023,-0.068,0
91606,1.212228101,0.33,0.755,0.75,-0.145833333,0.003,0.094,0
92139,0.779393173,0.22,0.726,0.04,0.875,0.031,0.507,0
91360,0.9174122509999999,0.27,0.672,0.16,0.5,0.04,-0.07200000000000001,0
91105,0.783625731,0.3,0.925,0.64,3.6,0.11,-0.128,0
92024,1.014208582,0.44,0.799,0.38,-0.433333333,0.045,0.025,0
95425,0.583105023,0.26,0.537,0.62,1.0,0.163,0.023,0
90034,1.037037037,0.52,0.733,0.7,0.243589744,0.013000000000000001,0.317,0
92227,0.395348837,0.35,0.5920000000000001,0.72,-0.470588235,0.147,0.5379999999999999,0
94939,0.503308779,0.24,0.311,-0.12,0.058064516,0.025,-0.042,1
94111,0.551288616,0.83,0.706,0.13,0.012345678999999998,0.043,-0.109,0
93015,0.773279352,0.24,0.488,0.22,1.0,0.08900000000000001,0.39,0
92557,0.48867786700000004,0.11,0.695,-0.18,0.133333333,0.12300000000000001,0.11199999999999999,1
90815,1.110103093,0.3,0.631,0.33,0.444444444,0.043,-0.027999999999999997,0
95662,0.656584751,0.2,0.544,0.24,0.428571429,-0.006999999999999999,0.004,0
92173,0.612523249,0.28,0.616,0.52,-0.255555556,0.107,0.904,0
95818,1.235416667,0.48,0.612,1.01,-0.186440678,-0.055,0.184,0
91342,0.9605734770000001,0.25,0.767,0.52,0.303030303,0.11900000000000001,0.39799999999999996,0
93656,0.9329341320000001,0.48,0.758,0.33,2.0,0.257,-0.23199999999999998,0
94403,0.633526251,0.42,0.536,0.6,0.5,0.055999999999999994,-0.048,0
91607,0.951347798,0.29,0.748,0.67,0.02,0.078,0.04,0
93010,0.792217605,0.37,0.565,0.25,1.166666667,0.009000000000000001,-0.040999999999999995,0
92056,0.6857819909999999,0.19,0.675,0.26,-0.28,-0.003,-0.019,0
95065,0.493636364,0.47,0.688,0.39,0.545454545,-0.002,0.021,0
90069,-0.09648894699999999,0.53,0.748,0.48,0.347826087,0.002,-0.10300000000000001,1
92860,0.931540342,0.34,1.121,0.52,0.7142857140000001,0.218,-0.09699999999999999,0
90025,0.682245302,0.49,0.68,0.55,0.472222222,0.1,-0.055999999999999994,0
95963,1.3271028040000001,0.25,0.47600000000000003,0.5,-0.25,0.096,0.16,0
94102,0.31778889899999996,0.08,0.546,0.76,0.110328638,-0.034,-0.065,1
95403,0.380821918,0.2,0.502,0.08,-0.14285714300000002,0.11599999999999999,-0.024,0
90029,1.395584177,0.6,0.7290000000000001,1.16,0.15625,-0.037000000000000005,0.138,0
91324,0.854971241,0.18,0.838,0.6,0.073170732,0.134,-0.132,0
95350,0.260545906,0.07,0.562,0.26,-0.071428571,-0.040999999999999995,0.036000000000000004,1
90056,0.7442401679999999,0.06,0.708,0.23,-0.6,0.034,-0.344,1
91302,0.681470138,0.3,0.623,0.56,-0.166666667,0.064,-0.05,0
95066,0.42904582700000005,0.47,0.467,0.35,-0.166666667,0.037000000000000005,-0.033,0
90746,0.847672065,0.26,0.857,0.66,-0.028571429,0.046,0.28800000000000003,0
91945,0.7852389590000001,0.31,0.622,-0.1,-0.258064516,0.043,-0.013000000000000001,0
94530,1.0085470090000002,0.54,0.613,0.25,0.155339806,0.051,-0.019,0
96143,0.692549372,0.05,0.43200000000000005,0.41,-0.556701031,-0.19699999999999998,0.21600000000000003,1
93041,0.733978235,0.26,0.84,0.16,1.0,-0.063,0.203,0
94709,0.7987711209999999,0.53,0.7659999999999999,0.22,-0.020725389,0.18600000000000003,-0.084,0
95695,0.7582417579999999,0.21,0.41600000000000004,0.46,0.636363636,0.006999999999999999,0.075,0
90745,0.8474957790000001,0.42,0.826,0.72,0.074074074,0.040999999999999995,0.138,0
93003,0.753552578,0.28,0.649,0.4,0.5555555560000001,0.09699999999999999,0.004,0
90230,0.911149228,0.44,0.8029999999999999,0.72,0.18918918899999998,0.036000000000000004,0.134,0
95482,0.7407181979999999,0.27,0.603,0.37,-0.333333333,0.07,0.027999999999999997,0
92882,0.757418011,0.28,0.621,0.36,0.5555555560000001,0.16399999999999998,0.177,0
91354,0.734958111,0.31,0.546,0.27,0.125,0.627,-0.16,0
92124,0.878831076,0.36,0.731,0.1,0.0,0.0,0.017,0
94122,0.944878049,0.42,0.6,0.54,0.016949153,0.055,-0.095,0
92377,0.724808895,0.38,0.647,0.08,-0.7826086959999999,0.068,0.21100000000000002,1
90232,1.32705206,0.55,0.78,0.69,-0.5671641789999999,0.012,0.264,1
96025,0.7632469,0.39,0.748,0.68,0.305555556,-0.18899999999999997,-0.019,0
91601,1.168015231,0.49,0.8859999999999999,1.15,0.636363636,0.059000000000000004,0.27399999999999997,0
92307,0.45892116200000005,0.37,0.737,0.25,0.428571429,0.19899999999999998,0.017,0
95827,0.484033613,0.18,0.474,0.3,-0.058823529000000006,0.035,0.064,0
91744,0.97846568,0.24,0.7040000000000001,0.55,-0.333333333,0.025,0.431,0
94547,0.526595745,0.32,0.436,0.39,0.2875,0.096,-0.171,0
94577,0.602774275,0.27,0.462,0.35,-0.043859649,0.094,-0.16899999999999998,0
93513,0.632307692,0.38,0.696,0.8,7.666666667,-0.128,-0.018000000000000002,0
91740,0.9777660140000001,0.27,0.742,0.37,0.24,0.048,0.004,0
90031,1.2748876040000001,0.37,0.747,1.19,-0.108280255,0.024,0.298,0
95033,0.498964088,0.18,0.359,0.37,-0.5,-0.053,-0.015,1
92301,0.156479218,0.1,1.202,0.07,0.666666667,0.722,0.113,1
92250,0.473631841,0.09,0.535,-0.05,0.28571428600000004,0.05,0.198,1
91331,1.005486968,0.31,0.961,0.68,-0.102941176,0.052000000000000005,0.6890000000000001,0
90254,0.921600692,0.29,0.627,0.17,0.2,0.055999999999999994,-0.023,0
94541,0.47207446799999997,0.19,0.428,0.45,0.291666667,0.040999999999999995,-0.004,0
94117,0.22602560800000002,0.62,0.679,0.5,0.042134831,0.10099999999999999,0.022000000000000002,1
90630,0.986050219,0.32,0.748,0.5,-0.083333333,0.032,-0.121,0
95838,0.41375661399999997,0.26,0.544,0.19,-0.085714286,0.03,-0.036000000000000004,0
94509,0.07731434400000001,-0.1,0.541,-0.29,0.627906977,-0.303,-0.133,1
95490,0.665920955,0.11,0.738,0.21,7.5,-0.040999999999999995,0.02,1
95570,0.812469075,0.52,0.386,0.65,2.142857143,-0.114,-0.06,0
93247,0.6728754370000001,0.25,0.5479999999999999,0.41,1.5,0.221,0.682,0
93637,0.511214953,0.33,0.622,0.28,-0.625,0.41,0.368,1
92833,1.2696793,0.32,0.7809999999999999,0.62,0.193548387,0.156,-0.247,0
95630,0.7229020979999999,0.37,0.508,0.55,0.857142857,0.415,-0.098,0
92584,0.6053615960000001,0.43,0.8759999999999999,0.42,0.333333333,2.296,-0.16,0
91932,0.991860465,0.34,0.733,0.36,-0.33846153799999995,-0.015,0.14300000000000002,0
92345,0.47967479700000004,0.02,0.591,0.13,0.571428571,0.183,0.017,1
93710,0.632050134,0.27,0.561,0.07,0.7777777779999999,0.129,-0.036000000000000004,0
92883,0.8618634890000001,0.35,0.9279999999999999,0.47,0.7,1.426,-0.036000000000000004,0
93012,0.775119617,0.34,0.578,0.61,0.666666667,0.419,-0.10300000000000001,0
91205,1.082179132,0.35,0.7609999999999999,0.65,-0.315217391,-0.078,0.314,0
95356,0.467741935,0.4,0.602,0.38,-0.7,0.259,-0.114,1
92019,0.6684125710000001,0.32,0.7809999999999999,0.07,1.111111111,0.08199999999999999,-0.057999999999999996,0
94583,0.540799626,0.28,0.24,0.29,-0.06122449,-0.2,-0.19399999999999998,1
92551,0.497363796,0.02,0.503,-0.15,-0.571428571,0.439,0.19699999999999998,1
93955,0.44077019700000003,0.27,0.8140000000000001,0.68,0.2,-0.10800000000000001,0.22,0
94952,0.640675007,0.32,0.544,0.45,-0.380952381,0.099,-0.063,0
90402,0.0,0.11,0.893,0.29,-0.526315789,0.001,-0.018000000000000002,1
92054,1.15596817,0.39,0.6729999999999999,0.43,-0.03030303,-0.562,0.20199999999999999,0
90026,1.854519091,0.62,0.88,1.46,-0.083743842,-0.077,0.807,0
95017,0.698882682,0.18,0.653,0.86,-0.68,-0.231,0.19699999999999998,1
95501,1.1337359790000001,0.46,0.695,0.6,-0.15789473699999998,0.024,-0.055,0
90275,0.700999643,0.26,0.33399999999999996,0.44,0.3,0.027999999999999997,-0.08199999999999999,0
91914,1.121470193,0.6,0.455,-0.11,-0.176470588,5.507000000000001,-0.11699999999999999,1
91711,1.128763867,0.34,0.7090000000000001,0.27,0.5,0.051,-0.031,0
93204,0.651362984,0.01,0.449,-0.48,1.571428571,-0.01,0.5770000000000001,1
94521,0.594369548,0.32,0.488,0.44,-0.11956521699999999,0.031,-0.065,0
92553,0.572427572,0.11,0.696,-0.11,-0.291666667,0.20600000000000002,0.315,1
92869,0.936546463,0.19,0.657,0.15,0.272727273,-0.013000000000000001,-0.092,0
94924,0.8351809240000001,0.4,0.51,0.34,4.8,-0.081,-0.013000000000000001,0
95661,0.676056338,0.24,0.43700000000000006,0.34,-0.375,0.215,-0.053,0
90814,0.846320346,0.32,0.706,0.55,0.25,-0.012,0.136,0
91710,0.94205393,0.3,0.721,0.77,0.14285714300000002,0.10300000000000001,0.006999999999999999,0
94502,0.7685683529999999,0.2,0.276,0.48,0.0,-0.055999999999999994,-0.191,0
90502,0.886192017,0.29,0.55,0.86,-0.24,0.006,-0.11900000000000001,0
94545,0.45606183899999997,0.26,0.381,0.5,0.127272727,0.133,-0.1,0
91320,1.015463918,0.37,0.581,0.48,1.8333333330000001,0.19,-0.091,0
96150,1.063905325,0.19,0.38799999999999996,0.22,-0.243243243,-0.133,-0.033,0
93706,0.706395349,0.33,0.672,0.86,-0.576923077,0.11199999999999999,0.401,1
92240,0.449101796,0.29,0.816,0.15,-0.071428571,0.575,-0.128,0
95835,0.373284055,0.26,4.793,0.72,0.1,45.85,-0.369,0
90057,0.692485549,0.37,0.727,0.57,0.015765766,0.04,-0.192,0
93446,1.147774481,0.54,0.778,0.45,1.142857143,0.245,0.004,0
93063,0.8028583440000001,0.25,0.605,0.56,0.133333333,0.157,-0.063,0
95969,0.569348659,0.32,0.5660000000000001,0.47,0.625,-0.03,-0.003,0
96130,0.550176056,0.42,0.574,-0.2,2.5,0.128,-0.13,0
95626,0.668674699,0.3,0.6709999999999999,0.26,1.0,0.025,-0.021,0
93465,1.00211685,0.59,0.419,0.33,0.0,0.222,-0.055,0
90043,1.077591199,0.14,0.7020000000000001,0.41,-0.23157894699999998,-0.037000000000000005,1.012,1
94523,0.750848608,0.2,0.521,0.54,0.221238938,0.054000000000000006,-0.071,0
94702,1.130065612,0.52,0.78,1.09,0.068965517,0.079,0.249,0
95824,0.265330189,0.04,0.523,0.21,-0.380952381,-0.026000000000000002,0.132,1
91208,0.829765545,0.17,0.736,0.12,0.7777777779999999,-0.021,0.049,0
93702,0.421875,0.21,0.6629999999999999,0.31,-0.507692308,-0.003,0.198,0
95348,0.382922535,0.22,0.547,0.34,2.25,0.359,0.025,0
93301,0.012773723,0.21,0.56,0.22,-0.818181818,-0.098,0.016,1
90255,0.745752427,0.18,0.5920000000000001,0.4,-0.125874126,-0.024,0.6559999999999999,0
95747,0.610407876,0.47,0.696,0.48,0.4,1.22,-0.111,0
95076,0.42449600600000004,0.25,0.627,0.26,-0.272727273,0.043,0.40299999999999997,0
91364,0.73416711,0.18,0.547,-0.03,-0.384615385,0.038,-0.094,0
95073,0.329367702,0.41,0.42,0.36,-0.578947368,0.106,-0.031,1
