zip,percent_change_house,percent_change_income,percent_change_rent,index_change,percent_change_public_tranp,percent_change_population,percent_change_white,outcome
93726,0.5988165679999999,0.12,0.654,0.17,0.0,0.08900000000000001,-0.054000000000000006,1
91750,0.879231091,0.27,0.653,0.38,-0.25,-0.043,-0.023,0
95616,1.207957342,0.08,0.5660000000000001,0.26,-0.215384615,-0.28600000000000003,-0.11699999999999999,1
92121,0.6949928470000001,0.46,0.57,0.27,0.526315789,0.13699999999999998,-0.27699999999999997,0
92082,0.573560768,0.36,0.624,0.08,1.333333333,0.36200000000000004,0.035,0
94123,0.0,0.43,0.48200000000000004,0.18,0.14527027,0.115,-0.034,1
94060,0.822600243,0.02,0.036000000000000004,-0.63,-0.794117647,-0.192,0.135,1
92118,0.462417374,0.37,0.9540000000000001,0.61,-0.296296296,-0.059000000000000004,0.069,0
94587,0.53941513,0.15,0.387,0.42,0.322580645,0.079,-0.293,1
93535,0.307608696,0.08,0.6559999999999999,-0.09,-0.23809523800000001,0.268,0.055999999999999994,1
95758,0.452510587,0.03,0.48,-0.31,0.9411764709999999,0.319,-0.213,1
96001,0.913446677,0.34,0.626,0.43,-0.41176470600000004,0.091,-0.047,0
90631,0.9083068540000001,0.31,0.662,0.43,0.571428571,0.023,-0.047,0
91214,1.074383038,0.39,0.7509999999999999,0.62,-0.111111111,0.068,-0.11599999999999999,0
95762,0.751835536,0.29,0.611,0.07,0.41666666700000005,0.8440000000000001,-0.10300000000000001,0
92867,1.128214415,0.24,0.6729999999999999,0.34,-0.14285714300000002,0.08900000000000001,-0.037000000000000005,0
93546,0.6653723970000001,0.39,0.614,-0.42,1.2380952379999999,0.145,0.019,0
92506,0.740119112,0.25,0.621,0.31,-0.15789473699999998,0.085,0.057999999999999996,0
92653,1.309551657,0.99,0.593,0.37,0.35714285700000004,-0.402,-0.17300000000000001,0
94618,0.780948553,0.59,0.622,0.36,0.185393258,0.10300000000000001,-0.109,0
92027,0.761276128,0.16,0.5710000000000001,-0.17,-0.347826087,0.16899999999999998,0.12300000000000001,1
93703,0.403768506,0.09,0.68,0.19,-0.111111111,0.095,-0.054000000000000006,1
95379,0.9635499209999999,0.43,0.561,0.72,-0.75,-0.034,-0.015,1
92544,0.215331611,0.13,0.693,0.03,-0.222222222,0.201,-0.07400000000000001,1
91502,0.7383778440000001,0.38,0.857,0.92,-0.5476190479999999,0.096,0.23600000000000002,0
95821,0.589760207,0.09,0.516,0.21,-0.145833333,-0.027000000000000003,-0.048,1
90301,0.7646318440000001,0.21,0.594,0.55,0.034883721,-0.021,0.46399999999999997,0
95621,0.36235294100000004,0.22,0.49700000000000005,0.18,0.111111111,-0.004,-0.04,0
92129,1.003777473,0.4,0.741,0.32,0.307692308,0.158,-0.096,0
94710,1.291377197,0.74,1.028,0.66,-0.386831276,-0.21,0.652,0
90038,1.433067376,0.45,0.7829999999999999,1.48,-0.069672131,-0.115,-0.047,0
93033,0.572748268,0.19,0.645,0.11,0.0,0.057999999999999996,1.053,0
93309,0.48730009399999996,0.18,0.537,-0.24,-0.26666666699999997,0.034,0.017,0
94112,0.9285489459999999,0.24,0.43,0.49,0.109677419,0.136,0.059000000000000004,0
95670,0.6070381229999999,0.21,0.441,0.31,0.46666666700000003,0.064,-0.073,0
92604,1.135696384,0.27,0.45299999999999996,0.3,1.4,0.039,-0.114,0
91786,0.937971014,0.37,0.6709999999999999,0.59,0.071428571,0.069,-0.14,0
92648,0.846995865,0.34,0.642,0.25,0.25,0.09300000000000001,-0.034,0
93304,0.23839397699999998,0.23,0.593,0.24,-0.130434783,0.158,0.262,1
92879,0.5221339389999999,0.17,0.605,0.11,0.538461538,0.084,0.23,0
95023,0.242434905,0.19,0.6709999999999999,0.16,-0.428571429,0.066,0.307,1
93013,0.43584860700000005,0.32,0.51,0.15,0.034482759,-0.084,0.057999999999999996,0
94107,0.47582395899999996,0.97,0.9059999999999999,0.93,0.393617021,0.6,-0.051,0
94518,0.557657979,0.13,0.46299999999999997,0.25,0.009615385,-0.027000000000000003,-0.024,1
94606,1.039927405,0.16,0.498,0.74,0.10928961699999999,-0.11599999999999999,0.321,1
94127,0.693362193,0.38,0.8029999999999999,0.81,0.09433962300000001,-0.061,-0.063,0
92683,1.010600707,0.08,0.613,0.25,0.2,0.034,-0.155,1
93454,0.807511737,0.35,0.64,-0.2,5.0,0.22399999999999998,-0.071,0
92587,0.34628799200000004,0.17,0.585,-0.01,-0.666666667,0.278,-0.086,1
91790,1.0268935240000001,0.3,0.718,0.44,-0.057142857000000005,0.045,-0.191,0
93292,0.422334173,0.2,0.718,0.13,0.111111111,0.27699999999999997,0.122,0
93257,0.618838992,0.28,0.5379999999999999,0.24,-0.5,0.15,0.45799999999999996,0
90012,1.4689655169999998,0.46,0.9790000000000001,1.05,-0.236111111,-0.018000000000000002,0.40399999999999997,0
95336,0.294155844,0.17,0.6779999999999999,0.21,-0.153846154,0.264,-0.057,1
93266,0.45786516899999996,-0.17,0.45399999999999996,0.57,1.047619048,-0.149,1.095,1
91765,1.206303725,0.3,0.7979999999999999,0.23,0.12,0.022000000000000002,-0.187,0
92078,0.474693252,0.04,0.5670000000000001,0.36,0.375,5.806,-0.027000000000000003,1
91748,1.221189591,0.18,0.579,0.22,0.592592593,0.033,-0.139,0
90017,0.706085455,0.42,1.1909999999999998,2.15,-0.36502546700000005,0.146,0.006999999999999999,0
90660,0.9700059990000001,0.36,0.764,0.76,-0.076923077,0.006,0.006,0
94506,0.45833333299999995,0.24,0.0,0.41,-0.04444444400000001,0.10800000000000001,-0.047,0
91351,0.5505617979999999,0.15,0.493,-0.17,0.379310345,-0.45299999999999996,-0.057999999999999996,1
94704,0.595238095,0.57,0.828,-0.09,0.316091954,0.242,-0.034,0
95945,0.851785714,0.27,0.48700000000000004,0.68,-0.7142857140000001,0.052000000000000005,-0.013000000000000001,1
91411,1.128676471,0.28,0.738,0.98,-0.294117647,0.021,0.316,0
92392,0.31399631699999997,0.47,0.998,0.21,-0.4,-0.107,0.055,1
94022,0.0,0.26,0.188,0.67,0.117647059,0.069,-0.14,1
93001,0.77480916,0.28,0.627,0.37,0.304347826,-0.016,0.07200000000000001,0
95684,0.697032436,0.16,0.523,0.07,2.1176470590000003,0.01,0.005,1
91381,0.75480916,0.32,0.621,0.24,1.0,1.046,-0.086,0
94603,0.56429652,0.18,0.654,0.56,-0.112903226,0.028999999999999998,0.782,0
94965,0.425766871,0.17,0.249,0.12,-0.11049723800000001,-0.008,-0.009000000000000001,1
90302,0.882915173,0.26,0.564,0.7,-0.066666667,-0.018000000000000002,0.547,0
94563,0.547805643,0.39,0.596,0.07,0.054054054000000004,0.019,-0.08199999999999999,0
95363,0.27820122,0.16,1.3090000000000002,0.48,-0.333333333,0.68,0.28600000000000003,1
95307,0.33933162,0.2,0.631,0.19,0.5,0.292,0.077,1
92663,0.6803915309999999,0.3,0.585,0.47,1.6666666669999999,0.028999999999999998,-0.054000000000000006,0
95361,0.7331554370000001,0.28,0.758,0.67,0.0,0.28300000000000003,0.04,0
91101,1.1651829870000001,0.53,0.847,0.82,0.8684210529999999,0.255,0.1,0
96052,0.73513986,0.02,0.5589999999999999,0.51,1.0,-0.10099999999999999,-0.019,1
92509,0.579688658,0.25,0.775,0.23,-0.26666666699999997,0.222,-0.067,0
91784,0.8288186609999999,0.18,0.6829999999999999,-0.1,0.117647059,0.11699999999999999,-0.042,0
95128,0.46027397299999995,0.25,0.317,0.52,-0.03030303,0.129,-0.079,0
94024,0.0040170679999999995,0.3,0.02,0.57,0.333333333,0.051,-0.107,1
91303,0.992261905,0.26,0.7070000000000001,0.96,0.2375,0.184,0.305,0
90062,0.9111864409999999,0.19,0.6940000000000001,0.03,0.05988024,0.11599999999999999,0.10300000000000001,0
91767,0.923020528,0.23,0.736,0.47,-0.16071428599999998,0.052000000000000005,0.6890000000000001,0
90032,1.1962987440000001,0.35,0.79,0.77,-0.04040404,0.008,0.47200000000000003,0
94133,0.017493333,0.3,0.8,0.83,-0.075812274,0.031,0.045,1
90250,1.1880809190000001,0.36,0.6559999999999999,0.6,0.158730159,0.02,0.47200000000000003,0
90270,0.8199871879999999,0.2,0.6629999999999999,0.5,-0.370689655,-0.015,0.867,0
94063,0.408793821,0.1,0.45299999999999996,0.42,0.016666667,-0.013999999999999999,0.304,1
90265,0.18413380699999998,0.24,0.222,0.04,0.25,-0.1,-0.037000000000000005,1
95405,0.6400462960000001,0.27,0.43700000000000006,0.38,0.076923077,-0.033,-0.06,1
92106,0.9086768390000001,0.32,1.057,0.29,1.4444444440000002,0.055999999999999994,-0.05,0
96003,0.76119403,0.29,0.705,0.51,0.7142857140000001,0.071,-0.017,0
92128,0.8670058140000001,0.35,0.48100000000000004,0.41,-0.5,0.153,-0.134,0
92394,0.496724891,0.38,1.158,-0.33,0.6,1.8559999999999999,-0.158,0
91007,1.006508722,0.41,0.669,0.33,0.37037037,0.106,-0.363,0
92336,1.005479452,0.58,1.3159999999999998,1.07,-0.181818182,0.6759999999999999,0.226,0
93933,0.4600652,0.28,0.498,0.5,0.65,0.043,0.11,0
96097,0.656188605,-0.01,0.7,0.09,1.25,0.027000000000000003,-0.08,1
95814,1.492487479,0.63,0.703,0.85,-0.47540983600000003,-0.39299999999999996,0.047,0
92656,0.8057915059999999,0.36,0.467,0.31,-0.090909091,0.24600000000000002,-0.10400000000000001,0
95776,0.653179191,0.36,0.6,1.05,3.416666667,0.45299999999999996,0.075,0
93221,0.719523373,0.31,0.5820000000000001,0.41,-0.833333333,0.155,0.21,1
95631,0.551783659,0.25,0.8009999999999999,0.69,-0.222222222,0.036000000000000004,0.027999999999999997,0
93274,0.683157895,0.36,0.7020000000000001,0.47,-0.4,0.273,0.43799999999999994,0
90067,0.29356110399999996,0.2,0.247,0.48,0.10526315800000001,-0.063,-0.037000000000000005,1
90008,0.880508475,0.19,0.657,0.16,0.263636364,0.07,1.0,0
93611,0.666449086,0.21,0.74,0.09,-0.333333333,0.037000000000000005,-0.12300000000000001,0
95476,0.617049617,0.19,0.479,0.12,-0.19047619,0.132,-0.052000000000000005,0
95822,0.9918699190000001,0.25,0.672,0.49,-0.093023256,-0.04,0.295,0
93212,0.516469038,0.2,0.595,-0.31,-0.8235294120000001,0.073,1.052,1
95133,0.344725987,0.06,0.377,0.4,0.5,0.052000000000000005,-0.063,1
91724,1.054395338,0.27,0.5920000000000001,0.4,0.517241379,0.013999999999999999,-0.135,0
91042,1.109422492,0.34,0.73,0.49,-0.58490566,0.052000000000000005,-0.004,1
94542,0.569167644,0.16,0.307,-0.04,0.446428571,0.121,-0.193,1
94588,0.626898579,0.38,0.361,0.53,0.7,0.11699999999999999,-0.223,0
92021,0.549433574,0.25,0.635,0.25,-0.13636363599999998,0.081,0.008,0
93721,0.43052109200000005,-0.06,0.449,0.32,-0.278688525,-0.077,-0.133,1
92223,0.823834197,0.89,1.188,1.29,-0.111111111,1.6369999999999998,-0.081,0
93444,0.668797954,0.22,0.875,0.88,1.0,0.272,0.08199999999999999,0
94607,1.1910466579999999,0.62,0.894,1.5,0.0,0.18,1.2570000000000001,0
95688,0.6957345970000001,0.32,0.757,0.25,1.0,0.1,-0.084,0
90807,1.075809199,0.43,0.691,0.34,0.294117647,0.069,-0.193,0
92105,1.085171103,0.44,0.7090000000000001,0.93,-0.23595505600000002,-0.023,0.617,0
93219,0.57201087,0.03,0.677,0.37,1.166666667,0.11599999999999999,2.517,1
94010,0.11197709300000001,0.44,0.435,0.57,0.793650794,0.047,-0.10300000000000001,1
95993,0.634726225,0.36,0.659,0.38,1.125,0.29,-0.057,0
95367,0.46872393700000003,0.32,0.564,0.67,0.25,0.456,0.162,0
93923,0.41886971700000003,0.46,0.605,0.4,0.0,-0.012,0.003,0
93241,0.159279778,0.27,0.645,0.37,1.333333333,0.204,0.7759999999999999,1
95002,0.7764656259999999,0.26,0.282,2.48,-0.542857143,-0.22,0.5539999999999999,0
93451,1.1738437,0.38,1.137,0.53,0.0,0.5720000000000001,-0.009000000000000001,0
91377,0.738350295,0.31,0.35200000000000004,0.45,-0.666666667,-0.02,-0.07,1
95338,0.649061849,0.38,0.87,0.28,0.384615385,0.084,-0.033,0
94572,0.558808682,0.14,0.467,0.36,0.090909091,0.13699999999999998,-0.047,1
93662,0.683995923,0.23,0.5770000000000001,0.2,-0.5,0.171,0.341,0
95401,0.474347435,0.07,0.47600000000000003,0.02,-0.13636363599999998,0.069,0.057999999999999996,1
90808,1.1633347509999998,0.52,0.596,0.41,0.384615385,0.065,-0.099,0
95928,1.124385102,0.5,0.504,0.6,0.384615385,0.099,0.038,0
94121,0.78369453,0.14,0.547,0.43,0.025723472999999997,-0.01,-0.049,1
95003,0.517529603,0.22,0.484,0.22,-0.066666667,0.006999999999999999,0.002,0
95315,0.28952381,0.11,0.632,0.11,-0.8888888890000001,0.221,0.073,1
90601,0.956989247,0.34,0.708,0.29,1.058823529,0.066,-0.067,0
93550,0.45811789,0.03,0.684,-0.05,0.3125,0.10400000000000001,-0.313,1
91010,1.092244418,0.19,0.627,0.57,0.24242424199999998,-0.059000000000000004,0.042,0
95376,0.064516129,0.01,0.599,0.06,0.21052631600000002,-0.292,-0.021,1
91505,1.3483535530000001,0.5,0.833,0.67,1.0,0.065,-0.037000000000000005,0
91789,1.210755814,0.26,0.7090000000000001,0.45,0.19047619,-0.039,-0.17,0
92154,0.704797048,0.4,0.799,0.32,-0.20338983100000002,0.261,0.573,0
95060,0.5605954870000001,0.15,0.626,0.42,-0.09677419400000001,0.092,0.011000000000000001,1
94536,0.6190476189999999,0.32,0.349,0.4,0.74137931,0.063,-0.322,0
95127,0.346559206,0.12,0.34,0.2,0.151515152,0.064,-0.152,1
95219,0.477724101,0.49,0.585,0.27,-0.41666666700000005,0.484,-0.115,0
90027,0.891247936,0.58,0.884,1.07,0.037383177999999996,-0.055,0.07400000000000001,0
91977,0.846478025,0.31,0.6729999999999999,0.21,-0.2,0.06,0.237,0
94901,0.467888175,0.28,0.446,0.04,-0.132352941,0.045,-0.08900000000000001,1
93906,0.29281768,0.12,0.545,-0.01,-0.8125,0.17800000000000002,0.451,1
92646,0.94340857,0.25,0.607,0.37,-0.428571429,-0.018000000000000002,-0.031,0
